full_name,tns_ra_hms,tns_dec_hms,discoverymag,location,redshift,type,discoverydate,internal_names,host_name,host_ra_rms,host_dec_rms,ra,declination,filter,host_ra,host_dec,host_redshift,host_type
AT2023yoj,11:27:41.3539,-5:615:0.565,18.61,not_center,,,2023-11-28 06:05:48.192,GOTO23bmh,WISEA J112741.17-051457.9,,,171.922308,-5.250157,L,171.9215,-5.24956,0.03224,G
AT2023yok,12:53:53.9758,+26:18:46.732,18.27,not_center,,,2023-11-28 05:57:21.024,GOTO23bmi,WISEA J125353.74+261849.8,,,193.474899,26.312981,L,193.47393,26.31388,0.085886,G
AT2023yol,12:28:7.7165,+20:10:47.68,18.29,not_center,,,2023-11-28 05:46:39.072,GOTO23bmj,SDSS J122807.99+201044.6,,,187.032152,20.179911,L,187.03329,20.17907,--,G
AT2023yoo,22:1:3.1358,-13:1576:28.974,17.339,not_center,,,2023-11-28 00:50:48.192,ATLAS23wjr,2MASS J22010279-1316178,,,330.263066,-13.274715,orange,330.26165,-13.27163,--,IrS
AT2023yon,6:37:45.2599,+20:49:0.401,15.98,not_center,,,2023-11-27 21:18:43.200,XM125HT,WISEA J063746.71+204902.2,,,99.438583,20.816778,Clear,99.44465,20.81728,--,IrS
AT2023yoi,23:59:37.5341,+5:44:34.505,18.22,not_center,,,2023-11-27 20:18:25.632,"GOTO23bmq, ATLAS23wjt",WISEA J235937.79+054431.1,,,359.906392,5.742918,L,359.90729,5.74197,0.034606,G
AT2023yoa,0:43:9.3199,+41:15:41.602,16.2,not_center,0.0,Nova,2023-11-27 19:56:16.800,PSP23N,WISEA J004309.55+411544.6,,,10.788833,41.261556,Clear,10.78991,41.26269,--,IrS
AT2023you,12:10:4.1599,-12:1457:44.948,18.52,center,,,2023-11-26 14:28:19.200,Gaia23dke,WISEA J121004.16-121744.5,,,182.517333,-12.295819,G,182.51735,-12.29582,--,RadioS
AT2023yot,13:23:47.07,+3:36:5.648,18.66,center,,,2023-11-26 14:03:50.400,Gaia23dkd,WISEA J132347.07+033605.6,,,200.946125,3.601569,G,200.94616,3.60159,0.262447,QSO
AT2023yop,16:43:39.1399,+34:59:57.12,18.55,center,,,2023-11-26 01:07:40.800,Gaia23dju,WISEA J164339.13+345957.3,,,250.913083,34.9992,G,250.91305,34.99921,1.985,*
AT2023yos,14:5:54.6,+13:27:7.88,18.1,center,,,2023-11-25 21:34:33.600,Gaia23dka,WISEA J140554.58+132708.7,,,211.4775,13.452189,G,211.47736,13.45248,0.027153,G
AT2023xri,13:15:21.3701,+1:55:34.68,18.7859,center,,,2023-11-13 13:05:01.003,"ZTF23abqwetb, Gaia23dkb",2MASS J13152143+0155363,,,198.839042,1.9263,r,198.83931,1.92677,--,IrS
AT2023yoq,16:12:55.9999,+33:3:7.42,18.64,not_center,,,2023-11-06 20:49:55.200,Gaia23djw,WISEA J161256.69+330306.1,,,243.233333,33.052061,G,243.23626,33.05171,0.031395,G
