full_name,tns_ra_hms,tns_dec_hms,discoverymag,location,redshift,type,discoverydate,internal_names,host_name,host_ra_rms,host_dec_rms,ra,declination,filter,host_ra,host_dec,host_redshift,host_type
AT2023yoa,0:43:9.3199,+41:15:41.602,16.2,not_center,,,2023-11-27 19:56:16.800,PSP23N,WISEA J004309.55+411544.6,,,10.788833,41.261556,Clear,10.78991,41.26269,--,IrS
AT2023ync,0:42:53.1269,+41:18:32.27,18.5,not_center,,,2023-11-27 03:14:54.240,Vend56,SSTSL2 J004253.09+411828.7,,,10.721362,41.308964,Clear,10.72121,41.30799,--,IrS
AT2023ynl,19:2:49.7501,+38:47:7.66,17.59,not_center,,,2023-11-25 18:41:45.600,Gaia23djo,WISEA J190250.22+384712.2,,,285.707292,38.785461,G,285.70935,38.78674,--,IrS
AT2023ynn,0:22:43.56,+6:10:2.708,18.16,center,,,2023-11-25 17:31:12.000,Gaia23djq,GALEXASC J002243.51+061003.4,,,5.6815,6.167419,G,5.68143,6.16755,--,VisS
AT2023ynp,1:41:37.9399,-9:1110:1.84,18.4,center,,,2023-11-25 17:06:43.200,Gaia23djs,WISEA J014137.93-093001.7,,,25.408083,-9.500511,G,25.40808,-9.5005,--,G
AT2023ynk,19:26:9.3799,+36:40:40.868,18.37,not_center,,,2023-11-25 06:37:26.400,Gaia23djj,WISEA J192609.57+364039.3,,,291.539083,36.678019,G,291.53989,36.67759,--,IrS
AT2023yne,19:23:53.34,+35:40:34.972,18.63,not_center,,,2023-11-25 00:37:26.400,Gaia23diz,WISEA J192353.42+354031.6,,,290.97225,35.676381,G,290.97263,35.67554,--,IrS
AT2023yni,13:13:49.5499,+6:57:39.488,18.09,not_center,,,2023-11-24 14:02:24.000,Gaia23djf,SDSS J131349.20+065737.5,,,198.456458,6.960969,G,198.455,6.96044,--,G
AT2023yng,21:4:19.2401,+28:39:43.988,18.01,not_center,,,2023-11-24 12:17:16.800,Gaia23djb,WISEA J210419.07+283947.9,,,316.080167,28.662219,G,316.07962,28.66338,--,IrS
AT2023xrh,14:9:48.7099,+15:53:38.26,18.0513,center,,,2023-11-13 13:03:39.001,"ZTF23abqwfez, Gaia23djg",WISEA J140948.64+155338.0,,,212.452958,15.893961,r,212.45252,15.89394,0.066611,G
AT2023ynh,16:12:59.7101,+30:50:24.32,18.21,not_center,,,2023-11-07 19:03:21.600,Gaia23djd,GALEXASC J161259.90+305024.7,,,243.248792,30.840089,G,243.2496,30.8402,--,UvS
SN2023wed,9:58:0.3671,-3:360:9.123,18.46,not_center,0.1,SN Ia,2023-11-02 06:03:17.856,"GOTO23bci, ZTF23abnivuj, ATLAS23wcx",SDSS J095800.58-030010.2,,,149.5015294,-3.0025341,L,149.50243,-3.00284,--,G
AT2023wgr,17:8:38.6599,+32:33:52.492,18.4334,not_center,,,2023-11-02 03:28:46.998,"ZTF23aboenmn, ATLAS23uvh, Gaia23djc",WISEA J170838.47+323353.0,,,257.161083,32.564581,g,257.1603,32.56474,--,IrS
AT2023vbe,11:10:24.5222,+4:49:55.766,18.6514,not_center,,,2023-10-15 12:39:03.004,"ZTF23abkiovn, PS23lbi",2MASS J11102465+0449537,,,167.602175677,4.83215722677,r,167.60274,4.83161,--,IrS
SN2023ucy,19:1:41.9899,+40:45:5.8,17.9015,center,0.0152,SN II,2023-10-05 03:38:05.280,"ZTF23abhzxwm, ATLAS23tqo, Gaia23djn",NGC 6745 NED03,,,285.424958,40.751611,r,285.4249,40.75137,--,G
