full_name,tns_ra_hms,tns_dec_hms,tns_ra,tns_dec,discoverydate,discovery_mag,filter,location,redshift,type,internal_names,host_name,host_ra_hms,host_dec_hms,host_ra,host_dec,host_redshift,host_type,TNS_link,ZTF_link
AT2023aanv,20:21:17.5099,+30:49:29.201,305.322958,30.824778,2023-12-19 16:20:12.480,12.2,Clear,center,,,MASTER OT J202117.51+304929.2,2MASS J20211750+3049295,20:21:17.508,+30:49:29.532,305.32295,30.82487,--,IrS,https://www.wis-tns.org/object/2023aanv,
AT2023aaoe,14:49:6.6543,-1:31:28.318,222.2777263,-1.5245328,2023-12-09 13:23:31.200,18.64,r,not_center,,,ZTF23absjleo,WISEA J144907.32-013124.4,14:49:7.3224,-1:31:24.384,222.28051,-1.52344,--,IrS,https://www.wis-tns.org/object/2023aaoe,https://alerce.online/object/ZTF23absjleo
AT2023aaod,11:54:10.1046,-13:19:51.728,178.5421026,-13.3310356,2023-12-09 12:08:38.400,18.58,g,not_center,,,ZTF23absqobf,WISEA J115411.40-131954.3,11:54:11.4072,-13:19:54.336,178.54753,-13.33176,--,IrS,https://www.wis-tns.org/object/2023aaod,https://alerce.online/object/ZTF23absqobf
SN2023zbi,13:25:5.9599,-19:46:8.0,201.274833,-19.768889,2023-12-04 02:29:45.600,16.62,G,not_center,0.0155,SN Ia,"Gaia23dmw, ATLAS23xow",ESO 576- G 051,13:25:8.9904,-19:46:5.304,201.28746,-19.76814,0.017399,G,https://www.wis-tns.org/object/2023zbi,
SN2023yqp,3:24:49.8099,-9:14:12.591,51.207541137,-9.23683083366,2023-12-02 21:38:18.240,18.075,orange,not_center,0.032,SN Ic,"ATLAS23wle, GOTO23boe, PS23lsu, ZTF23absbjlp",WISEA J032450.06-091407.1,3:24:50.0904,-9:14:5.712,51.20871,-9.23492,0.032005,G,https://www.wis-tns.org/object/2023yqp,https://alerce.online/object/ZTF23absbjlp
AT2023yoj,11:27:41.3252,-5:15:0.471,171.922188196,-5.25013077466,2023-11-28 06:05:48.192,18.61,L,not_center,,,"GOTO23bmh, ATLAS23xom, PS23mbb",WISEA J112741.17-051457.9,11:27:41.16,-5:14:58.416,171.9215,-5.24956,0.03224,G,https://www.wis-tns.org/object/2023yoj,
AT2019aaua,23:34:33.9109,+3:37:43.935,353.6412953,3.6288709,2019-07-07 10:26:24.000,18.59,r,center,,,ZTF18abufszz,WISEA J233433.92+033743.8,23:34:33.9288,+3:37:43.788,353.64137,3.62883,0.057621,G,https://www.wis-tns.org/object/2019aaua,https://alerce.online/object/ZTF18abufszz
