full_name,tns_ra_hms,tns_dec_hms,tns_ra,tns_dec,discoverydate,discovery_mag,filter,location,redshift,type,internal_names,host_name,host_ra_hms,host_dec_hms,host_ra,host_dec,host_redshift,host_type,TNS_link,ZTF_link
AT2023abvb,16:9:2.4234,+9:19:34.79,242.26009754000077,9.32633052,2023-12-28 13:18:31.003,18.3736,r,center,,nan,ZTF23abvsdqv,WISEA J160902.43+091933.7,16:9:2.4456,+9:19:33.78,242.26019,9.32605,0.072628,G,https://www.wis-tns.org/object/2023abvb,https://alerce.online/object/ZTF23abvsdqv
AT2023abtk,2:0:26.5842,+21:9:58.077,30.1107675,21.1661325,2023-12-28 08:53:43.296,18.765,orange,not_center,,nan,ATLAS23xxt,WISEA J020026.40+210957.9,2:0:26.4288,+21:9:57.924,30.11012,21.16609,--,IrS,https://www.wis-tns.org/object/2023abtk,
AT2023abtj,1:27:1.3774,+33:57:17.749,21.7557393511,33.9549303051,2023-12-28 07:41:07.872,18.108,orange,not_center,,nan,"ATLAS23xxs, PS23nfe",CGCG 521-028,1:27:2.1792,+33:57:19.584,21.75908,33.95544,0.013813,G,https://www.wis-tns.org/object/2023abtj,
AT2023abtv,21:28:0.1901,+21:16:13.552,322.000792,21.270431,2023-12-26 23:38:24.000,12.07,G,center,,nan,Gaia23duv,WISEA J212800.20+211613.6,21:28:0.2064,+21:16:13.656,322.00086,21.27046,--,IrS,https://www.wis-tns.org/object/2023abtv,
AT2023abtw,20:5:24.1601,+81:43:51.78,301.350667,81.73105,2023-12-26 20:31:12.000,15.02,G,center,,nan,Gaia23duw,GALEXASC J200524.08+814352.6,20:5:24.0816,+81:43:52.68,301.35034,81.7313,--,UvS,https://www.wis-tns.org/object/2023abtw,
AT2023abtp,21:18:25.3901,+50:26:20.62,319.605792,50.439061,2023-12-26 19:56:38.400,14.14,G,center,,nan,Gaia23dun,WISEA J211825.40+502620.9,21:18:25.404,+50:26:20.76,319.60585,50.4391,--,IrS,https://www.wis-tns.org/object/2023abtp,
AT2023abts,9:33:13.35,-7:23:12.772,143.305625,-7.386881,2023-12-26 14:32:38.400,18.77,G,not_center,,nan,Gaia23dur,WISEA J093313.30-072314.9,9:33:13.2792,-7:23:15.0,143.30533,-7.3875,0.071759,G,https://www.wis-tns.org/object/2023abts,
AT2023abtr,9:33:56.5099,-5:24:36.968,143.485458,-5.410269,2023-12-26 14:31:12.000,18.72,G,center,,nan,Gaia23dup,WISEA J093356.50-052436.9,9:33:56.5392,-5:24:36.396,143.48558,-5.41011,--,UvS,https://www.wis-tns.org/object/2023abtr,
AT2023abup,16:8:42.1719,+12:7:23.997,242.1757164,12.1233326,2023-12-17 13:29:16.800,18.54,r,center,,nan,ZTF23abvbrhp,GALEXASC J160842.09+120725.3,16:8:42.0984,+12:7:25.32,242.17541,12.1237,--,UvS,https://www.wis-tns.org/object/2023abup,https://alerce.online/object/ZTF23abvbrhp
AT2023abuo,16:5:32.1407,+14:15:52.818,241.3839197,14.2646716,2023-12-17 13:29:16.800,17.44,r,not_center,,nan,ZTF23abvbqrz,WISEA J160532.45+141554.7,16:5:32.4504,+14:15:54.144,241.38521,14.26504,--,G,https://www.wis-tns.org/object/2023abuo,https://alerce.online/object/ZTF23abvbqrz
AT2023abun,16:0:29.9904,+14:30:8.655,240.1249598,14.5024043,2023-12-17 13:29:16.800,17.56,r,not_center,,nan,ZTF23abvbqsd,WISEA J160029.71+143011.1,16:0:29.712,+14:30:10.98,240.1238,14.50305,0.03621,G,https://www.wis-tns.org/object/2023abun,https://alerce.online/object/ZTF23abvbqsd
SN2023vtr,9:31:21.143,-10:38:46.75,142.838095807,-10.6463195552,2023-10-19 11:34:04.800,18.75,r,not_center,0.05,SN Ia,"ZTF23abluzif, ATLAS23uph, PS23ndf",WISEA J093121.20-103843.4,9:31:21.2088,-10:38:43.44,142.83837,-10.6454,--,IrS,https://www.wis-tns.org/object/2023vtr,https://alerce.online/object/ZTF23abluzif
