full_name,values,tns_ra_hms,tns_dec_hms,last_mag,last_date,location,tns_ra,tns_dec,discoverydate,discovery_mag,reporting_group,filter,ang_diff,Abs_Mag,Mag_distance(Mpc),center_distance(pc),redshift,type,internal_names,host_name,host_redshift,host_type,TNS_link,Link
AT2024ws,1,8:28:46.6999,+73:45:8.701,17.8,2024-01-12 14:03:40,非中心,127.194583,73.752417,2024-01-12 14:03:40.000,17.8,,Clear,32.52291307388687,,,,,nan,,NGC 2550A,0.012125,G,https://www.wis-tns.org/object/2024ws,
AT2024xo,0,0:55:6.5256,-18:44:42.972,18.7,2024-01-12 01:26:11,非中心,13.77719,-18.74527,2024-01-12 01:26:11.040,18.7,ATLAS,orange,13.2653683141955,,,,,nan,ATLAS24ark,WISEA J005505.87-184433.0,0.055582,G,https://www.wis-tns.org/object/2024xo,['https://fallingstar-data.com/forcedphot/']
AT2024xi,0,16:33:7.5134,+26:2:6.583,18.666,2024-01-11 15:16:10,非中心,248.281306,26.035162,2024-01-11 15:16:10.272,18.666,ATLAS,orange,11.617434586605365,,,,,nan,ATLAS24ard,WISEA J163308.05+260215.4,0.065504,G,https://www.wis-tns.org/object/2024xi,['https://fallingstar-data.com/forcedphot/']
AT2024xf,0,21:58:28.7448,+29:54:6.462,14.021,2024-01-11 05:43:22,非中心,329.61977,29.901795,2024-01-11 05:43:22.080,14.021,ATLAS,orange,7.914694732208775,,,,,nan,ATLAS24aqu,WISEA J215828.17+295403.5,--,IrS,https://www.wis-tns.org/object/2024xf,['https://fallingstar-data.com/forcedphot/']
AT2024ww,0,17:46:4.4304,+18:49:14.124,18.52,2024-01-12 13:35:02,非中心,266.51846,18.8205901,2024-01-10 13:26:24.000,18.27,ZTF,r,3.480656811327348,,,,,nan,ZTF24aabniev,WISEA J174604.20+184912.7,0.062206,G,https://www.wis-tns.org/object/2024ww,['https://alerce.online/object/ZTF24aabniev']
AT2024wu,0,17:43:34.9661,+16:30:59.947,18.85,2024-01-12 13:35:02,非中心,265.8956919,16.5166519,2024-01-10 13:26:24.000,18.74,ZTF,r,9.63214741523318,,,,,nan,ZTF24aabnihs,WISEA J174335.40+163107.1,0.066307,G,https://www.wis-tns.org/object/2024wu,['https://alerce.online/object/ZTF24aabnihs']
SN2024cu,0,17:5:17.1946,+75:13:6.979,18.1796,2024-01-02 12:32:05,中心,256.3216442,75.2186054,2024-01-02 12:32:05.001,18.1796,ALeRCE,r,1.051635685386429,-19.19415694728847,298.36741348617227,1521.2184040869256,0.071,SN Ia,ZTF24aaadhuo,SDSS J170516.92+751306.7,--,G,https://www.wis-tns.org/object/2024cu,['https://alerce.online/object/ZTF24aaadhuo']
