full_name,tns_ra_hms,tns_dec_hms,discoverymag,location,redshift,type,discoverydate,internal_names,host_name,host_ra_rms,host_dec_rms,ra,declination,filter,host_ra,host_dec,host_redshift
AT2023ylu,20:31:52.83,+27:40:17.26,14.47,not_center,,,2023-11-23 18:21:36.000,Gaia23dix,WISEA J203152.65+274026.3,,,307.970125,27.671461,G,307.96947,27.67404,--
SN2023yin,22:32:6.0811,+13:20:6.158,18.371,not_center,0.048,SN Ia,2023-11-23 07:14:04.416,ATLAS23wdt,WISEA J223206.23+132008.8,,,338.025338,13.335044,orange,338.02596,13.33581,--
SN2023yjn,0:40:30.7301,-7:884:52.98,18.72,not_center,0.057,SN Ia,2023-11-22 17:16:48.000,Gaia23dil,WISEA J004030.74-074449.0,,,10.128042,-7.74805,G,10.12808,-7.7469,--
SN2023yji,23:12:43.41,+2:34:44.08,18.2,not_center,0.03,SN Ia,2023-11-22 05:38:24.000,Gaia23dic,WISEA J231243.45+023446.8,,,348.180875,2.578911,G,348.1811,2.57983,0.031252
SN2023yep,1:35:24.4657,0:44:34.496,18.54,not_center,0.08152,SN Ia-91T-like,2023-11-18 21:56:27.744,"GOTO23ble, ATLAS23vlm, PS23kyo",2MASS J01352446-0044409,,,23.8519403926,-0.74291549617,L,23.85195,-0.74476,0.08152
SN2023xzq,1:5:22.7899,-8:1017:4.14,18.78,center,0.04,SN Ia,2023-11-17 20:31:49.152,"ATLAS23vvp, ZTF23abrrcgd, Gaia23div",SDSS J010522.86-085704.2,,,16.344958,-8.95115,cyan,16.34527,-8.95119,--
SN2023xqn,0:8:10.1159,+27:0:13.316,18.169,not_center,0.029,SN Ia,2023-11-13 05:20:09.312,"ATLAS23vno, PS23koi",2MASS J00080991+2700141,,,2.04214977453,27.0036988148,cyan,2.04131,27.00394,--
SN2023wtm,3:17:51.827,0:6:17.876,18.673,center,0.023,SN Ic,2023-11-05 07:31:12.999,"ZTF17aacpbmv, ATLAS23vdw, PS23kod",WISEA J031751.80-000617.9,,,49.4659458114,-0.104965680997,g,49.46582,-0.10499,0.023157
SN2023tqm,7:57:28.6149,+51:7:23.89,18.702,not_center,0.055,SN Ia,2023-09-25 14:24:38.880,"ATLAS23teh, ZTF23abgvtxr, PS23kxh",WISEA J075727.62+510734.4,,,119.36922866,51.1233028942,cyan,119.36504,51.12618,--
