full_name,tns_ra_hms,tns_dec_hms,tns_ra,tns_dec,discoverydate,discovery_mag,filter,location,redshift,type,internal_names,host_name,host_ra_hms,host_dec_hms,host_ra,host_dec,host_redshift,host_type,TNS_link,ZTF_link
AT2023abdj,12:31:29.8876,+19:5:29.184,187.874531667,19.09144,2023-12-24 14:20:24.864,18.3,orange,not_center,,,ATLAS23xvc,WISEA J123129.61+190521.0,12:31:29.6184,+19:5:20.976,187.87341,19.08916,0.049484,G,https://www.wis-tns.org/object/2023abdj,
AT2023abdk,9:24:56.8245,+40:23:57.341,141.236768571,40.3992614286,2023-12-24 10:53:53.376,18.153,orange,not_center,,,ATLAS23xvd,KUG 0921+406,9:24:56.6472,+40:23:58.452,141.23603,40.39957,0.027787,G,https://www.wis-tns.org/object/2023abdk,
AT2023abde,22:32:50.0424,+23:56:30.759,338.20851,23.9418775,2023-12-24 05:46:56.352,18.442,orange,not_center,,,ATLAS23xuz,WISEA J223249.79+235633.1,22:32:49.7784,+23:56:33.288,338.20741,23.94258,0.044352,G,https://www.wis-tns.org/object/2023abde,
AT2023abdu,23:25:2.2601,+56:41:50.96,351.259417,56.697489,2023-12-22 18:18:43.200,17.66,G,not_center,,,Gaia23dtd,WISEA J232502.54+564154.8,23:25:2.544,+56:41:54.996,351.2606,56.69861,--,IrS,https://www.wis-tns.org/object/2023abdu,
AT2023abdq,22:43:19.1899,+34:0:16.96,340.829958,34.004711,2023-12-22 17:52:48.000,18.69,G,not_center,,,Gaia23dsy,NGC 7363,22:43:19.9104,+34:0:5.4,340.83296,34.0015,0.022419,G,https://www.wis-tns.org/object/2023abdq,
AT2023abds,10:2:33.7301,+9:26:33.18,150.640542,9.44255,2023-12-22 14:12:28.800,18.67,G,center,,,Gaia23dtb,WISEA J100233.73+092633.1,10:2:33.7296,+9:26:33.144,150.64054,9.44254,0.11353,G,https://www.wis-tns.org/object/2023abds,
AT2023abbe,0:55:0.1399,+65:51:53.96,13.750583,65.864989,2023-12-21 14:18:14.400,17.02,G,center,,,Gaia23dss,2MASS J00550016+6551539,0:55:0.1608,+65:51:53.928,13.75067,65.86498,--,IrS,https://www.wis-tns.org/object/2023abbe,
AT2023abau,0:36:45.9799,+63:28:53.0,9.191583,63.481389,2023-12-21 14:15:21.600,17.83,G,center,,,Gaia23dsh,V0710 Cas,0:36:45.9984,+63:28:52.932,9.19166,63.48137,--,IrS,https://www.wis-tns.org/object/2023abau,
AT2023abbh,2:55:37.56,+73:2:0.848,43.9065,73.033569,2023-12-21 12:46:04.800,18.26,G,center,,,Gaia23dsu,WISEA J025537.47+730201.1,2:55:37.4688,+73:2:0.96,43.90612,73.0336,--,IrS,https://www.wis-tns.org/object/2023abbh,
AT2023abbd,23:2:53.5301,+26:1:35.828,345.723042,26.026619,2023-12-21 05:44:09.600,18.66,G,not_center,,,"Gaia23dsq, ATLAS23xuy",WISEA J230253.51+260127.4,23:2:53.5176,+26:1:27.408,345.72299,26.02428,--,IrS,https://www.wis-tns.org/object/2023abbd,
AT2023abbj,9:34:6.66,+39:26:32.1,143.52775,39.44225,2023-12-20 21:27:21.600,18.79,G,center,,,Gaia23dsv,WISEA J093406.65+392632.1,9:34:6.6696,+39:26:32.136,143.52779,39.44226,0.235639,QSO,https://www.wis-tns.org/object/2023abbj,
AT2023abdi,12:2:2.8533,+33:37:10.79,180.51188875,33.61966375,2023-12-17 13:14:04.416,18.672,orange,not_center,,,ATLAS23xvb,KUG 1159+338,12:2:2.8344,+33:37:12.9,180.51181,33.62025,0.024217,G,https://www.wis-tns.org/object/2023abdi,
SN2023yqu,0:34:57.1781,+25:42:58.782,8.73824189337,25.7163282253,2023-12-03 08:04:17.184,17.977,cyan,not_center,0.067,SN Ia,"ATLAS23wli, ZTF23abrynqp, PS23moa",WISEA J003457.89+254251.3,0:34:57.8832,+25:42:51.444,8.74118,25.71429,--,IrS,https://www.wis-tns.org/object/2023yqu,https://alerce.online/object/ZTF23abrynqp
SN2023yoo,22:1:3.15,-13:16:28.988,330.263125,-13.274719,2023-11-28 00:50:48.192,17.339,orange,not_center,0.012,SN Ia,"ATLAS23wjr, ZTF23abryylt, Gaia23dsz",NGC 7171,22:1:2.0112,-13:16:11.1,330.25838,-13.26975,0.009069,G,https://www.wis-tns.org/object/2023yoo,https://alerce.online/object/ZTF23abryylt
AT1989al,8:30:11.16,+9:13:42.701,127.5465,9.228528,1989-03-07 03:30:00.000,17.4,R,not_center,,,,WISEA J083011.75+091339.8,8:30:11.7672,+9:13:40.116,127.54903,9.22781,0.05196,G,https://www.wis-tns.org/object/1989al,
