full_name,values,tns_ra_hms,tns_dec_hms,last_mag,last_date,location,tns_ra,tns_dec,discoverydate,discovery_mag,reporting_group,filter,ang_diff,Abs_Mag,Mag_distance(Mpc),center_distance(pc),redshift,type,internal_names,host_name,host_redshift,host_type,TNS_link,Link
AT2024yr,0,15:59:35.119,-13:9:12.486,17.818,2024-01-13 15:20:01,非中心,239.896329167,-13.1534683333,2024-01-13 15:20:00.960,17.818,ATLAS,orange,4.260810910940285,,,,,nan,ATLAS24ask,WISEA J155935.31-130915.9,--,UvS,https://www.wis-tns.org/object/2024yr,['https://fallingstar-data.com/forcedphot/']
AT2024yq,0,14:7:51.458,-10:3:42.114,17.869,2024-01-13 14:43:15,非中心,211.964408333,-10.0616983333,2024-01-13 14:43:15.168,17.869,ATLAS,orange,3.4747139099846827,,,,,nan,ATLAS24asj,WISEA J140751.29-100338.3,--,UvS,https://www.wis-tns.org/object/2024yq,['https://fallingstar-data.com/forcedphot/']
AT2024ys,0,12:29:53.4285,+12:58:56.16,18.633,2024-01-13 13:45:12,中心,187.472618889,12.9822666667,2024-01-13 13:45:12.384,18.633,ATLAS,orange,0.7848049061870438,,,,,nan,ATLAS24asl,SDSS J122953.47+125856.5,--,G,https://www.wis-tns.org/object/2024ys,['https://fallingstar-data.com/forcedphot/']
AT2024xt,0,11:14:56.0087,+50:20:7.423,18.4561,2024-01-13 10:42:44,非中心,168.7333695,50.3353954,2024-01-13 10:42:43.776,18.4561,ZTF,g,1.8333546226983106,,,,,nan,ZTF24aabpdug,SDSS J111455.82+502008.0,0.105,VisS,https://www.wis-tns.org/object/2024xt,['https://alerce.online/object/ZTF24aabpdug']
AT2024ym,0,10:11:37.4024,+74:59:38.029,18.38,2024-01-13 11:54:14,中心,152.9058432,74.993897,2024-01-13 09:33:07.200,18.38,ZTF,r,1.4943482709695657,,,,,nan,ZTF24aabplhb,WISEA J101137.87+745937.4,--,UvS,https://www.wis-tns.org/object/2024ym,['https://alerce.online/object/ZTF24aabplhb']
SN2024ws,1,8:28:46.6806,+73:45:8.52,17.63,2024-01-13 07:06:14,非中心,127.1945026,73.7523668,2024-01-12 14:03:40.000,17.8,,Clear,32.36415526032047,-15.660511588339833,49.215547145969126,7722.207380088087,0.012,SN II,", ZTF24aabsmvc",NGC 2550A,0.012125,G,https://www.wis-tns.org/object/2024ws,['https://alerce.online/object/ZTF24aabsmvc']
AT2024vs,0,7:51:7.286,+72:57:57.438,17.01,2024-01-13 06:46:05,非中心,117.7803585,72.9659549,2024-01-10 21:23:24.864,16.8,XOSS,Clear,3.7997934070821353,,,,,nan,"PSP24B, ZTF24aabpzuz",KUG 0745+730,--,G,https://www.wis-tns.org/object/2024vs,['https://alerce.online/object/ZTF24aabpzuz']
SN2024pi,0,7:52:42.613,+14:50:21.408,18.8,2024-01-07 10:16:48,非中心,118.1775541,14.83928,2024-01-06 06:30:19.999,19.0391,ALeRCE,r,5.14762277719202,-17.441043342998793,197.71001479226348,4934.126155309414,0.0475,SN Ia,"ZTF24aaajtzg, ATLAS24akz",CGCG 058-054,0.047622,G,https://www.wis-tns.org/object/2024pi,"['https://alerce.online/object/ZTF24aaajtzg', 'https://fallingstar-data.com/forcedphot/']"
SN2024hg,0,9:21:47.91,-3:53:33.58,18.33,2024-01-05 12:24:37,非中心,140.449625,-3.892661,2024-01-03 13:33:10.944,19.035,ATLAS,orange,9.583180136312924,-17.963532742142103,251.01897301380865,11662.484161945898,0.06,SN Ia,"ATLAS24aey, Gaia24aco, ZTF24aaaisri, PS24fm",WISEA J092148.01-035343.6,--,UvS,https://www.wis-tns.org/object/2024hg,"['https://alerce.online/object/ZTF24aaaisri', 'http://gsaweb.ast.cam.ac.uk/alerts/alert/Gaia24aco', 'https://fallingstar-data.com/forcedphot/']"
SN2024R,0,6:18:39.9257,+48:53:48.606,17.689,2024-01-04 10:14:26,非中心,94.666356887,48.8968349949,2024-01-01 09:19:40.224,18.44,Pan-STARRS,i,3.044730527332448,-17.969125716647287,191.34853579113525,2824.547429510101,0.046,SN Ia,"PS24h, ZTF23abvyqwv, ATLAS24agh",WISEA J061840.06+485345.9,0.029238,G,https://www.wis-tns.org/object/2024R,"['https://alerce.online/object/ZTF23abvyqwv', 'https://fallingstar-data.com/forcedphot/']"
