full_name,tns_ra_hms,tns_dec_hms,tns_ra,tns_dec,discoverydate,discovery_mag,filter,location,redshift,type,internal_names,host_name,host_ra_hms,host_dec_hms,host_ra,host_dec,host_redshift,host_type,TNS_link,ZTF_link
AT2023acha,16:44:51.8167,+52:46:1.433,251.215903077,52.7670646154,2023-12-31 15:18:01.728,16.713,orange,not_center,,nan,ATLAS23ych,WISEA J164452.29+524601.0,16:44:52.2984,+52:46:1.02,251.21791,52.76695,--,IrS,https://www.wis-tns.org/object/2023acha,['https://asas-sn.osu.edu/']
AT2023acgy,16:2:24.3384,+83:44:3.127,240.60141,83.734202,2023-12-31 13:11:39.264,18.391,orange,not_center,,nan,ATLAS23ycf,WISEA J160222.25+834352.0,16:2:22.2576,+83:43:52.104,240.59274,83.73114,--,IrS,https://www.wis-tns.org/object/2023acgy,['https://asas-sn.osu.edu/']
AT2023acfn,10:53:17.6604,-14:42:27.115,163.323585,-14.707532,2023-12-31 06:42:54.720,16.076,orange,not_center,,nan,ATLAS23yap,WISEA J105317.44-144217.3,10:53:17.4264,-14:42:17.604,163.32261,-14.70489,--,IrS,https://www.wis-tns.org/object/2023acfn,['https://asas-sn.osu.edu/']
AT2023acfm,20:52:1.7184,+63:9:38.88,313.00716,63.1608,2023-12-31 04:57:52.704,16.965,orange,not_center,,nan,ATLAS23yan,WISEA J205200.78+630957.8,20:52:0.912,+63:9:57.564,313.0038,63.16599,--,IrS,https://www.wis-tns.org/object/2023acfm,['https://asas-sn.osu.edu/']
AT2023acfy,14:11:33.8412,+8:59:44.121,212.891005,8.99558916667,2023-12-30 15:15:14.976,18.67,orange,not_center,,nan,ATLAS23ybo,WISEA J141131.52+090006.5,14:11:31.572,+9:0:6.48,212.88155,9.0018,0.514311,G,https://www.wis-tns.org/object/2023acfy,['https://asas-sn.osu.edu/']
AT2023acfh,13:59:34.128,+27:49:49.332,209.8922,27.83037,2023-12-30 14:29:02.400,18.314,orange,center,,nan,ATLAS23yah,2MASXi J1359340+274948,13:59:34.08,+27:49:48.684,209.892,27.83019,0.07532,G,https://www.wis-tns.org/object/2023acfh,['https://asas-sn.osu.edu/']
AT2023acdv,13:32:45.1267,-13:2:49.732,203.188027778,-13.0471477778,2023-12-30 14:20:56.832,18.042,orange,not_center,,nan,ATLAS23xzs,WISEA J133245.31-130249.7,13:32:45.2904,-13:2:50.1,203.18871,-13.04725,0.02349,G,https://www.wis-tns.org/object/2023acdv,['https://asas-sn.osu.edu/']
AT2023acfi,23:53:40.8668,+18:55:26.239,358.420278261,18.9239552174,2023-12-30 06:52:56.064,15.598,orange,not_center,,nan,ATLAS23yai,SDSS J235338.45+185535.9,23:53:38.4528,+18:55:35.976,358.41022,18.92666,0.528119,G,https://www.wis-tns.org/object/2023acfi,['https://asas-sn.osu.edu/']
AT2023acgb,16:9:5.2144,+50:0:42.702,242.271726667,50.0118616667,2023-12-29 15:28:01.344,18.028,orange,not_center,,nan,ATLAS23ybr,WISEA J160902.93+500032.3,16:9:2.9232,+50:0:32.04,242.26218,50.0089,0.626785,G,https://www.wis-tns.org/object/2023acgb,['https://asas-sn.osu.edu/']
AT2023acga,7:7:43.5887,+48:20:13.649,106.931619474,48.3371247368,2023-12-29 14:01:11.424,18.455,orange,not_center,,nan,ATLAS23ybq,WISEA J070743.68+482009.1,7:7:43.7232,+48:20:9.78,106.93218,48.33605,--,UvS,https://www.wis-tns.org/object/2023acga,['https://asas-sn.osu.edu/']
AT2023acgc,22:42:58.6695,+49:17:21.114,340.744456111,49.2891983333,2023-12-29 06:32:07.584,18.219,orange,not_center,,nan,ATLAS23ybt,WISEA J224259.56+491734.2,22:42:59.5632,+49:17:34.26,340.74818,49.29285,--,IrS,https://www.wis-tns.org/object/2023acgc,['https://asas-sn.osu.edu/']
