full_name,values,tns_ra_hms,tns_dec_hms,tns_ra,tns_dec,discoverydate,discovery_mag,filter,location,redshift,type,internal_names,host_name,host_ra_hms,host_dec_hms,host_ra,host_dec,host_redshift,host_type,TNS_link,Link
AT2024dy,0,10:46:45.03,+29:54:33.8,161.687625,29.909389,2024-01-02 12:14:31.776,18.602,orange,center,,nan,"ATLAS24ada, Gaia24acc",SDSS J104645.01+295434.1,10:46:45.0144,+29:54:34.164,161.68756,29.90949,--,G,https://www.wis-tns.org/object/2024dy,"['http://gsaweb.ast.cam.ac.uk/alerts/alert/Gaia24acc', 'https://fallingstar-data.com/forcedphot/']"
AT2023acbs,0,2:44:5.1088,+16:40:8.931,41.0212867401,16.6691474774,2023-12-27 05:29:45.600,18.37,g,center,,nan,"ZTF23abvnmam, ATLAS23xyu, PS24dr",GALEXASC J024405.02+164010.1,2:44:5.0208,+16:40:10.164,41.02092,16.66949,--,UvS,https://www.wis-tns.org/object/2023acbs,"['https://alerce.online/object/ZTF23abvnmam', 'https://fallingstar-data.com/forcedphot/']"
SN2023abqf,1,9:46:20.1197,+3:4:16.505,146.583832072,3.07125144125,2023-12-26 11:48:46.944,18.236,orange,not_center,0.02,SN Ia,"ATLAS23xws, PS24cd",2MASS J09461985+0304081,9:46:19.8408,+3:4:6.672,146.58267,3.06852,0.01988,G,https://www.wis-tns.org/object/2023abqf,['https://fallingstar-data.com/forcedphot/']
SN2023zew,1,6:36:51.8958,+37:34:12.183,99.2162323295,37.5700508471,2023-12-09 06:50:23.000,17.4,r,not_center,0.024,SN Ia,"ZTF23absguth, PS24ce",UGC 03499,6:36:51.7296,+37:34:13.8,99.21554,37.5705,0.02384,G,https://www.wis-tns.org/object/2023zew,['https://alerce.online/object/ZTF23absguth']
AT2023acjv,0,12:15:51.3101,+13:6:56.099,183.963792,13.115583,2023-01-04 16:16:12.000,16.3,Clear,not_center,,nan,,SDSS J121551.28+130701.2,12:15:51.2856,+13:7:1.272,183.96369,13.11702,0.001183,G,https://www.wis-tns.org/object/2023acjv,
