full_name,tns_ra_hms,tns_dec_hms,discoverymag,location,redshift,type,discoverydate,internal_names,host_name,host_ra_rms,host_dec_rms,ra,declination,filter,host_ra,host_dec,host_redshift,host_type
AT2023zns,12:44:52.1405,+53:57:58.178,18.71,not_center,,,2023-12-09 10:22:04.800,ZTF23absiydc,WISEA J124452.15+535753.0,,,191.2172521,53.9661605,g,191.21737,53.96479,0.079262,G
AT2023znj,9:23:46.6837,+7:8:21.384,18.71,center,,,2023-12-09 08:36:57.600,ZTF23absdoxb,WISEA J092346.67+070820.8,,,140.9445154,7.1392734,r,140.94448,7.13907,0.079643,G
SN2023zew,6:36:51.8866,+37:34:12.269,17.4,not_center,0.024,SN Ia,2023-12-09 06:50:23.000,ZTF23absguth,UGC 03499,,,99.2161941,37.5700747,r,99.21554,37.5705,0.02384,G
AT2023zdx,14:27:36.6776,+41:15:34.941,17.049,not_center,,,2023-12-08 15:15:07.200,"ATLAS23wwp, ZTF23absjgxb",SIT 0106,,,216.9028232,41.2597058,orange,216.903,41.258,0.009,GTrpl
AT2023zdw,0:25:32.541,+6:18:54.413,18.0,not_center,,,2023-12-08 02:52:48.000,"ASASSN-23ip, ATLAS23xah, ZTF23absfszz",WISEA J002531.48+061907.9,,,6.3855877,6.3151147,g,6.38117,6.31887,--,IrS
SN2023zba,0:16:0.3078,0:18:11.945,18.8,not_center,0.039,SN IIP,2023-12-07 03:31:06.000,", ATLAS23wys, ZTF23abseqoa",SDSS J001600.41-001809.6,,,4.0012824,-0.303318,V-crts,4.00171,-0.30269,0.039137,G
AT2023zof,10:16:15.3712,+18:35:19.151,18.715,not_center,,,2023-12-06 13:46:52.608,ATLAS23xcj,CGCG 093-083,,,154.064046545,18.5886530909,orange,154.06448,18.59026,0.038866,G
AT2023ywy,12:40:47.9515,+62:49:50.698,18.778,center,,,2023-12-04 14:21:31.392,"ATLAS23wrw, ZTF23absdxaw",WISEA J124047.76+624949.9,,,190.1997979,62.8307494,orange,190.19957,62.83072,--,G
AT2023ywu,12:38:21.6096,+54:25:1.632,18.367,center,,,2023-12-04 12:59:22.272,"ATLAS23wrp, ZTF23absiydp",WISEA J123821.69+542502.5,,,189.5900398,54.41711999999999,orange,189.59031,54.41709,--,G
SN2023ywr,6:27:51.9967,+67:12:25.961,17.991,not_center,0.04,SN Ia,2023-12-04 11:19:41.664,"ATLAS23wre, ZTF23absgdom",WISEA J062753.59+671226.1,,,96.966653,67.2072115,orange,96.97079,67.20773,--,UvS
AT2023ysu,11:5:25.3782,+32:1:4.968,18.734,not_center,,,2023-12-03 13:26:10.176,"ATLAS23wmo, ZTF23abswflc",WISEA J110524.81+320104.7,,,166.3557423,32.0180466,orange,166.3533,32.01805,0.039736,G
SN2023ytn,8:44:43.0993,-5:628:15.875,18.44,not_center,0.031,SN Ia,2023-12-02 03:23:23.136,"GOTO23bnj, ATLAS23wxw, ZTF23absdgcj",WISEA J084443.77-052828.5,,,131.1795806,-5.4710764,L,131.18229,-5.47467,0.031362,G
AT2023yuj,0:40:34.4563,-8:1010:1.989,18.178,not_center,,,2023-11-29 20:15:31.104,"ATLAS23woz, ZTF23absepck",WISEA J004034.39-085005.8,,,10.143568,-8.8338858,orange,10.14317,-8.83489,0.056718,G
AT2023yol,12:28:7.7137,+20:10:47.899,18.29,not_center,,,2023-11-28 05:46:39.072,"GOTO23bmj, ATLAS23wlv, ZTF23absjheu",[EKL2017] ECO 2872,,,187.0321405,20.179972,L,187.036,20.18,0.022454,GGroup
SN2023xkv,13:19:54.36,+31:14:6.968,18.1261,center,0.0189,SN II,2023-11-08 12:47:59.712,"ZTF23abpnqng, Gaia23dfk, ATLAS23wug",2MFGC 10661,,,199.9765,31.235269,r,199.97648,31.23496,0.018523,G
