full_name,tns_ra_hms,tns_dec_hms,discoverymag,location,redshift,type,discoverydate,internal_names,host_name,host_ra_rms,host_dec_rms,ra,declination,filter,host_ra,host_dec,host_redshift,host_type
AT2023zod,22:37:47.8999,+52:17:21.502,18.33,not_center,,,2023-12-11 14:55:47.712,XM129MZ,WISEA J223747.18+521707.0,,,339.449583,52.289306,Clear,339.44653,52.28538,--,IrS
AT2023zly,9:41:15.8637,-15:1846:18.455,18.688,center,,,2023-12-10 15:04:08.832,"ATLAS23wym, ZTF23absirgq",WISEA J094115.70-154619.2,,,145.31609875773538,-15.771793025837216,cyan,145.31581,-15.77165,--,UvS
AT2023zmf,8:27:50.7147,+5:30:50.508,18.691,not_center,,,2023-12-10 12:37:07.392,ATLAS23wzf,WISEA J082750.39+053051.4,,,126.96131125,5.51403,cyan,126.96062,5.51439,0.068387,G
AT2023zng,7:15:46.1566,+5:15:1.968,18.75,not_center,,,2023-12-10 10:04:48.000,ZTF23absptvp,WISEA J071546.43+051455.3,,,108.9423192,5.2505468,r,108.94393,5.24869,--,IrS
AT2023zmd,13:57:46.8501,+21:0:16.804,18.671,not_center,,,2023-12-09 14:34:23.808,ATLAS23wyz,SDSS J135746.90+210018.9,,,209.445208889,21.0046677778,cyan,209.44545,21.00527,--,G
AT2023znz,12:40:47.3428,+18:44:32.158,18.42,not_center,,,2023-12-09 12:34:33.600,ZTF23absjhex,WISEA J124047.03+184433.8,,,190.1972618,18.7422661,r,190.1962,18.74278,0.057059,G
AT2023znx,14:18:33.5153,+55:8:39.916,18.5637,not_center,,,2023-12-09 12:18:02.592,ZTF23absjgww,WISEA J141833.50+550851.2,,,214.639647,55.1444211,g,214.63933,55.14753,0.030012,G
AT2023znv,13:52:52.7222,+46:31:37.278,18.7,not_center,,,2023-12-09 12:17:16.800,ZTF23absjgwq,WISEA J135253.02+463137.4,,,208.2196759,46.5270218,g,208.22098,46.52707,0.063861,G
AT2023zms,13:10:53.5712,+8:42:11.864,17.2196,not_center,,,2023-12-09 12:11:55.997,ZTF23absjgsh,WISEA J131053.83+084212.7,,,197.7232133,8.7032956,g,197.72438,8.7035,0.021324,G
AT2023znw,12:55:43.1589,+63:20:46.389,18.48,center,,,2023-12-09 10:22:04.800,ZTF23absiycs,WISEA J125543.04+632047.6,,,193.9298287,63.3462192,g,193.92928,63.3466,0.080193,G
