full_name,tns_ra_hms,tns_dec_hms,tns_ra,tns_dec,discoverydate,discovery_mag,filter,location,redshift,type,internal_names,host_name,host_ra_hms,host_dec_hms,host_ra,host_dec,host_redshift,host_type,TNS_link,ZTF_link
AT2024J,8:27:25.6195,+3:28:50.03,126.856748,3.480564,2024-01-01 13:49:08.256,18.791,orange,not_center,,nan,ATLAS24abj,WISEA J082725.68+032849.2,8:27:25.7232,+3:28:48.864,126.85718,3.48024,0.033537,G,https://www.wis-tns.org/object/2024J,['https://fallingstar-data.com/forcedphot/']
AT2024F,1:14:15.8844,+2:20:21.468,18.566185,2.33929666667,2024-01-01 07:17:34.368,18.478,orange,not_center,,nan,ATLAS24abf,WISEA J011416.00+022021.3,1:14:16.0032,+2:20:20.76,18.56668,2.3391,--,G,https://www.wis-tns.org/object/2024F,['https://fallingstar-data.com/forcedphot/']
AT2023achj,8:36:7.4506,+25:6:47.102,129.031044,25.113084,2023-12-31 12:58:35.616,18.074,orange,center,,nan,ATLAS23yci,KUG 0833+252,8:36:7.4112,+25:6:45.684,129.03088,25.11269,0.0232,G,https://www.wis-tns.org/object/2023achj,['https://fallingstar-data.com/forcedphot/']
AT2023acif,19:19:58.4899,+53:59:51.832,289.993708,53.997731,2023-12-31 00:23:02.400,18.17,G,not_center,,nan,Gaia24aas,WISEA J191957.68+535944.7,19:19:57.6816,+53:59:44.772,289.99034,53.99577,--,IrS,https://www.wis-tns.org/object/2023acif,['http://gsaweb.ast.cam.ac.uk/alerts/alert/Gaia24aas']
AT2023acib,18:19:7.7299,+63:5:28.748,274.782208,63.091319,2023-12-30 20:22:33.600,16.15,G,center,,nan,Gaia24aan,WISEA J181907.73+630528.8,18:19:7.8096,+63:5:29.328,274.78254,63.09148,--,UvS,https://www.wis-tns.org/object/2023acib,['http://gsaweb.ast.cam.ac.uk/alerts/alert/Gaia24aan']
AT2023achz,20:31:55.2799,+32:37:3.32,307.980333,32.617589,2023-12-30 17:55:40.800,12.91,G,center,,nan,Gaia24aal,2MASS J20315526+3237033,20:31:55.2696,+32:37:3.36,307.98029,32.6176,--,IrS,https://www.wis-tns.org/object/2023achz,['http://gsaweb.ast.cam.ac.uk/alerts/alert/Gaia24aal']
AT2023acil,21:24:53.55,-1:41:44.38,321.223125,-1.695661,2023-12-30 17:16:48.000,17.31,G,center,,nan,Gaia24abb,GALEXASC J212453.62-014144.3,21:24:53.628,-1:41:44.412,321.22345,-1.69567,--,UvS,https://www.wis-tns.org/object/2023acil,['http://gsaweb.ast.cam.ac.uk/alerts/alert/Gaia24abb']
SN2023acdv,13:32:45.1267,-13:2:49.732,203.188027778,-13.0471477778,2023-12-30 14:20:56.832,18.042,orange,not_center,0.023,SN Ia-91bg-like,ATLAS23xzs,WISEA J133245.31-130249.7,13:32:45.2904,-13:2:50.1,203.18871,-13.04725,0.02349,G,https://www.wis-tns.org/object/2023acdv,['https://fallingstar-data.com/forcedphot/']
AT2023acia,20:22:31.1299,+37:10:4.26,305.629708,37.16785,2023-12-30 13:47:59.000,13.9,G,center,,nan,Gaia24aam,WISEA J202231.13+371004.4,20:22:31.1448,+37:10:4.332,305.62977,37.16787,--,IrS,https://www.wis-tns.org/object/2023acia,['http://gsaweb.ast.cam.ac.uk/alerts/alert/Gaia24aam']
AT2023acii,20:18:37.3099,+40:45:28.192,304.655458,40.757831,2023-12-30 07:50:52.800,18.37,G,center,,nan,Gaia24aay,2MASS J20183732+4045282,20:18:37.3152,+40:45:28.152,304.65548,40.75782,--,IrS,https://www.wis-tns.org/object/2023acii,['http://gsaweb.ast.cam.ac.uk/alerts/alert/Gaia24aay']
