full_name,tns_ra_hms,tns_dec_hms,discoverymag,location,redshift,type,discoverydate,internal_names,host_name,host_ra_rms,host_dec_rms,ra,declination,filter,host_ra,host_dec,host_redshift,host_type
SN2023yma,0:52:13.7148,+44:19:55.683,17.399,not_center,0.017772,SN Ia,2023-11-25 09:01:03.072,ATLAS23wft,UGC 00530,,,13.057145,44.3321341667,orange,13.05742,44.331,0.017772,G
AT2023ylz,10:6:20.9137,-6:735:22.08,18.429,not_center,,,2023-11-24 07:44:59.424,ATLAS23whu,LCRS B100351.2-060043,,,151.587140556,-6.25613333333,orange,151.58812,-6.25656,0.0189,G
SN2023xtg,1:49:5.6005,-14:1739:12.454,18.1,not_center,0.018686,SN Ia,2023-11-14 12:39:33.000,", ATLAS23vth, ZTF23abqqixn, PS23kun",WISEA J014905.81-145922.4,,,27.2733353448,-14.986792903,Clear,27.27423,-14.98958,--,IrS
SN2023xoc,2:11:7.23,-18:2215:20.348,18.494,center,0.03,SN II,2023-11-11 21:36:32.832,"ATLAS23vlc, PS23ktb, Gaia23dim",2MASX J02110731-1855202,,,32.780125,-18.922319,cyan,32.7805,-18.92228,--,G
SN2023xhc,7:41:58.6229,+23:10:35.347,17.9049,center,0.043,SN Ia,2023-11-09 11:55:44.256,"ZTF18aaeqjmc, ATLAS23vgx, PS23laa",CGCG 117-066,,,115.494261927,23.1764854163,g,115.49429,23.1764,0.043138,G
SN2023vwz,21:14:34.8209,+12:1:6.941,18.51,not_center,0.072,SN Ia,2023-10-28 02:03:59.000,"ULL-ASTRO-MASTER-5, ZTF23abkkajk, PS23kzx",WISEA J211434.35+120110.3,,,318.645086897,12.0185946736,g,318.6432,12.01957,--,IrS
AT2023uxf,10:44:39.2209,+26:10:48.395,18.679,not_center,,,2023-10-14 14:40:17.184,"ATLAS23uep, PS23lbb",SDSS J104438.92+261048.0,,,161.163420351,26.1801097023,cyan,161.16217,26.18001,1.975,*
