full_name,tns_ra_hms,tns_dec_hms,tns_ra,tns_dec,discoverydate,discovery_mag,filter,location,redshift,type,internal_names,host_name,host_ra_hms,host_dec_hms,host_ra,host_dec,host_redshift,host_type,TNS_link,ZTF_link
AT2024bv,23:27:39.7485,+22:45:29.736,351.915618924,22.7582600721,2024-01-02 05:04:12.000,18.42,z,not_center,,nan,PS24ao,UGC 12604,23:27:39.8592,+22:45:32.436,351.91608,22.75901,0.036969,G,https://www.wis-tns.org/object/2024bv,
AT2024dr,22:24:21.0336,+39:53:5.682,336.08764020000007,39.8849116,2024-01-02 02:50:29.000,18.7802,g,center,,nan,ZTF24aaaajsu,WISEA J222421.02+395305.7,22:24:21.0264,+39:53:5.64,336.08761,39.8849,--,IrS,https://www.wis-tns.org/object/2024dr,['https://alerce.online/object/ZTF24aaaajsu']
AT2024L,13:14:16.0752,+9:40:35.322,198.5669799,9.6764783,2024-01-01 13:23:51.072,18.68,orange,not_center,,nan,"ATLAS24abl, ZTF24aaaddir",WISEA J131415.73+094054.6,13:14:15.7416,+9:40:54.444,198.56559,9.68179,8.5e-05,*,https://www.wis-tns.org/object/2024L,"['https://alerce.online/object/ZTF24aaaddir', 'https://fallingstar-data.com/forcedphot/']"
AT2024R,6:18:39.9257,+48:53:48.606,94.666356887,48.8968349949,2024-01-01 09:19:40.224,18.44,i,not_center,,nan,PS24h,WISEA J061840.06+485345.9,6:18:40.1016,+48:53:46.104,94.66709,48.89614,0.029238,G,https://www.wis-tns.org/object/2024R,
AT2023acha,16:44:51.8178,+52:46:1.47,251.2159073,52.7670749,2023-12-31 15:18:01.728,16.713,orange,not_center,,nan,"ATLAS23ych, ZTF23abvryfw",WISEA J164452.29+524601.0,16:44:52.2984,+52:46:1.02,251.21791,52.76695,--,IrS,https://www.wis-tns.org/object/2023acha,"['https://alerce.online/object/ZTF23abvryfw', 'https://fallingstar-data.com/forcedphot/']"
AT2023achj,8:36:7.4734,+25:6:46.932,129.0311391,25.1130367,2023-12-31 12:58:35.616,18.074,orange,center,,nan,"ATLAS23yci, ZTF24aaabbse",KUG 0833+252,8:36:7.4112,+25:6:45.684,129.03088,25.11269,0.0232,G,https://www.wis-tns.org/object/2023achj,"['https://alerce.online/object/ZTF24aaabbse', 'https://fallingstar-data.com/forcedphot/']"
AT2023acfy,14:11:33.8543,+8:59:43.686,212.8910597,8.9954682,2023-12-30 15:15:14.976,18.67,orange,not_center,,nan,"ATLAS23ybo, ZTF24aaaddwd",WISEA J141131.52+090006.5,14:11:31.572,+9:0:6.48,212.88155,9.0018,0.514311,G,https://www.wis-tns.org/object/2023acfy,"['https://alerce.online/object/ZTF24aaaddwd', 'https://fallingstar-data.com/forcedphot/']"
AT2023acix,4:57:53.7499,-2:12:6.998,74.473958,-2.201944,2023-12-30 10:37:03.000,14.0,Clear,not_center,,nan,,WISEA J045753.64-021207.3,4:57:53.6256,-2:12:7.452,74.47344,-2.20207,--,IrS,https://www.wis-tns.org/object/2023acix,
AT2023acfi,23:53:40.8668,+18:55:26.239,358.420278261,18.9239552174,2023-12-30 06:52:56.064,15.598,orange,not_center,,CV,ATLAS23yai,SDSS J235338.45+185535.9,23:53:38.4528,+18:55:35.976,358.41022,18.92666,0.528119,G,https://www.wis-tns.org/object/2023acfi,['https://fallingstar-data.com/forcedphot/']
AT2023acga,7:7:43.5967,+48:20:13.719,106.9316529,48.3371443,2023-12-29 14:01:11.424,18.455,orange,not_center,,nan,"ATLAS23ybq, ZTF23abvpeqs",WISEA J070743.68+482009.1,7:7:43.7232,+48:20:9.78,106.93218,48.33605,--,UvS,https://www.wis-tns.org/object/2023acga,"['https://alerce.online/object/ZTF23abvpeqs', 'https://fallingstar-data.com/forcedphot/']"
AT2023acck,13:1:59.7554,+69:47:12.382,195.498981,69.7867728,2023-12-29 13:45:02.880,17.646,orange,not_center,,nan,"ATLAS23xze, ZTF23abwcpbg",CGCG 335-033,13:1:58.7496,+69:47:19.104,195.49479,69.78864,0.038783,G,https://www.wis-tns.org/object/2023acck,"['https://alerce.online/object/ZTF23abwcpbg', 'https://fallingstar-data.com/forcedphot/']"
AT2023acfo,15:56:43.8538,+28:44:18.841,239.1827243,28.7385669,2023-12-28 15:41:54.240,18.394,orange,not_center,,nan,"ATLAS23yar, ZTF24aaadlqu",WISEA J155644.33+284416.1,15:56:44.3976,+28:44:15.972,239.18499,28.73777,0.076395,G,https://www.wis-tns.org/object/2023acfo,"['https://alerce.online/object/ZTF24aaadlqu', 'https://fallingstar-data.com/forcedphot/']"
AT2023acax,14:51:38.7388,+6:57:43.003,222.9114116,6.9619454,2023-12-28 15:11:37.248,18.362,orange,center,,nan,"ATLAS23xyo, ZTF21aajvyds",WISEA J145138.72+065742.9,14:51:38.7696,+6:57:43.992,222.91154,6.96222,--,RadioS,https://www.wis-tns.org/object/2023acax,"['https://alerce.online/object/ZTF21aajvyds', 'https://fallingstar-data.com/forcedphot/']"
AT2023acji,15:8:27.4414,-1:27:57.32,227.1143392,-1.4659223,2023-12-28 13:19:12.000,18.75,r,center,,nan,ZTF23abvsepd,WISEA J150827.40-012757.4,15:8:27.4032,-1:27:57.384,227.11418,-1.46594,0.071888,G,https://www.wis-tns.org/object/2023acji,['https://alerce.online/object/ZTF23abvsepd']
SN2023abtk,2:0:26.5706,+21:9:57.317,30.110711,21.1659214,2023-12-28 08:53:43.296,18.765,orange,not_center,0.069,SN Ia,"ATLAS23xxt, ZTF23abvnhfx",WISEA J020026.40+210957.9,2:0:26.4288,+21:9:57.924,30.11012,21.16609,--,IrS,https://www.wis-tns.org/object/2023abtk,"['https://alerce.online/object/ZTF23abvnhfx', 'https://fallingstar-data.com/forcedphot/']"
SN2023abtj,1:27:1.3774,+33:57:17.749,21.7557393511,33.9549303051,2023-12-28 07:41:07.872,18.108,orange,not_center,0.014,SN IIn,"ATLAS23xxs, PS23nfe",CGCG 521-028,1:27:2.1792,+33:57:19.584,21.75908,33.95544,0.013813,G,https://www.wis-tns.org/object/2023abtj,['https://fallingstar-data.com/forcedphot/']
AT2023absz,14:41:39.0868,-3:57:47.987,220.4128616,-3.9633298,2023-12-26 15:22:41.664,17.788,orange,not_center,,nan,"ATLAS23xxd, ZTF24aaadkyj",WISEA J144139.02-035751.6,14:41:39.0288,-3:57:51.588,220.41262,-3.96433,0.069625,G,https://www.wis-tns.org/object/2023absz,"['https://alerce.online/object/ZTF24aaadkyj', 'https://fallingstar-data.com/forcedphot/']"
AT2023achy,13:25:38.0737,+33:40:49.116,201.4086406,33.68031,2023-12-25 14:57:57.312,18.662,orange,not_center,,nan,"ATLAS23xwf, ZTF24aaaddxh",KUG 1323+339,13:25:38.6664,+33:40:49.584,201.41111,33.68044,0.038969,G,https://www.wis-tns.org/object/2023achy,"['https://alerce.online/object/ZTF24aaaddxh', 'https://fallingstar-data.com/forcedphot/']"
SN2023absx,1:20:8.141,+1:8:13.6,20.033921,1.137111,2023-12-25 01:14:51.936,18.332,orange,not_center,0.054,SN Ia,ATLAS23xxb,WISEA J012008.37+010811.8,1:20:8.3784,+1:8:11.94,20.03491,1.13665,0.05478,G,https://www.wis-tns.org/object/2023absx,['https://fallingstar-data.com/forcedphot/']
SN2023abuo,16:5:32.1407,+14:15:52.818,241.3839197,14.2646716,2023-12-17 13:29:16.800,17.44,r,not_center,0.037,SN Ia,"ZTF23abvbqrz, ATLAS23xyv",WISEA J160532.45+141554.7,16:5:32.4504,+14:15:54.144,241.38521,14.26504,--,G,https://www.wis-tns.org/object/2023abuo,"['https://alerce.online/object/ZTF23abvbqrz', 'https://fallingstar-data.com/forcedphot/']"
AT2023zns,12:44:52.0934,+53:57:57.907,191.21705579,53.9660851585,2023-12-09 10:22:04.800,18.71,g,not_center,,nan,"ZTF23absiydc, ATLAS23wgf, PS24e",WISEA J124452.15+535753.0,12:44:52.1688,+53:57:53.244,191.21737,53.96479,0.079262,G,https://www.wis-tns.org/object/2023zns,"['https://alerce.online/object/ZTF23absiydc', 'https://fallingstar-data.com/forcedphot/']"
SN2023zdx,14:27:36.6778,+41:15:35.09,216.902824331,41.2597472261,2023-12-08 15:15:07.200,17.049,orange,not_center,0.0088,SN IIP,"ATLAS23wwp, ZTF23absjgxb, PS24g",SIT 0106,14:27:36.72,+41:15:28.8,216.903,41.258,0.009,GTrpl,https://www.wis-tns.org/object/2023zdx,"['https://alerce.online/object/ZTF23absjgxb', 'https://fallingstar-data.com/forcedphot/']"
