full_name,tns_ra_hms,tns_dec_hms,tns_ra,tns_dec,discoverydate,discovery_mag,filter,location,redshift,type,internal_names,host_name,host_ra_hms,host_dec_hms,host_ra,host_dec,host_redshift,host_type,TNS_link,ZTF_link
AT2024aq,16:6:40.3427,+3:9:8.609,241.6680946,3.1523913,2024-01-02 13:17:45.600,18.8,r,not_center,,nan,ZTF24aaadmhr,CGCG 051-042 NED01,16:6:40.0008,+3:9:2.304,241.66667,3.15064,0.03892,G,https://www.wis-tns.org/object/2024aq,['https://alerce.online/object/ZTF24aaadmhr']
AT2024dt,16:57:48.7219,+36:49:38.133,254.4530079500003,36.82725925,2024-01-02 13:14:19.000,17.9303,r,center,,nan,ZTF23abvsdjk,SDSS J165748.69+364938.0,16:57:48.6936,+36:49:38.028,254.45289,36.82723,--,G,https://www.wis-tns.org/object/2024dt,['https://alerce.online/object/ZTF23abvsdjk']
AT2024cp,16:3:57.1993,+16:21:44.401,240.9883304,16.3623336,2024-01-02 13:07:31.996,17.1763,r,center,,nan,ZTF24aaadlka,CGCG 108-092,16:3:57.2352,+16:21:42.876,240.98848,16.36191,0.038148,G,https://www.wis-tns.org/object/2024cp,['https://alerce.online/object/ZTF24aaadlka']
AT2024at,11:43:37.8912,+36:38:25.526,175.90788,36.640424,2024-01-02 12:50:49.056,18.437,orange,center,,nan,ATLAS24act,WISEA J114337.90+363825.6,11:43:37.9056,+36:38:25.692,175.90794,36.64047,0.055255,G,https://www.wis-tns.org/object/2024at,['https://fallingstar-data.com/forcedphot/']
AT2024ds,16:50:12.2473,+47:17:40.011,252.5510305,47.2944474,2024-01-02 12:34:48.003,18.0641,r,not_center,,nan,ZTF23abvsdjo,WISEA J165012.52+471743.0,16:50:12.5208,+47:17:43.08,252.55217,47.2953,--,IrS,https://www.wis-tns.org/object/2024ds,['https://alerce.online/object/ZTF23abvsdjo']
AT2024cu,17:5:17.1946,+75:13:6.979,256.3216442,75.2186054,2024-01-02 12:32:05.001,18.1796,r,center,,nan,ZTF24aaadhuo,SDSS J170516.92+751306.7,17:5:16.9248,+75:13:6.78,256.32052,75.21855,--,G,https://www.wis-tns.org/object/2024cu,['https://alerce.online/object/ZTF24aaadhuo']
AT2024Z,15:43:35.0488,+36:58:28.605,235.8960366,36.9746125,2024-01-02 11:31:12.000,18.79,g,not_center,,nan,ZTF24aaadedk,WISEA J154335.97+365756.0,15:43:35.9904,+36:57:56.16,235.89996,36.9656,0.520964,G,https://www.wis-tns.org/object/2024Z,['https://alerce.online/object/ZTF24aaadedk']
AT2024dc,14:4:45.5087,+26:18:7.326,211.1896195,26.302035,2024-01-02 11:20:21.002,18.3524,g,center,,nan,ZTF24aaaddwv,WISEA J140445.44+261806.5,14:4:45.42,+26:18:6.732,211.18925,26.30187,0.089845,G,https://www.wis-tns.org/object/2024dc,['https://alerce.online/object/ZTF24aaaddwv']
AT2024dg,13:17:18.5313,+32:55:41.552,199.3272137,32.9282088,2024-01-02 10:12:50.000,17.622,g,not_center,,nan,ZTF24aaacvhp,WISEA J131718.56+325543.9,13:17:18.5712,+32:55:43.968,199.32738,32.92888,0.051344,G,https://www.wis-tns.org/object/2024dg,['https://alerce.online/object/ZTF24aaacvhp']
AT2024as,10:5:6.3408,+17:29:20.844,151.27642,17.4891233333,2024-01-02 08:20:53.376,18.371,orange,center,,nan,ATLAS24acr,WISEA J100506.31+172921.1,10:5:6.3168,+17:29:21.048,151.27632,17.48918,--,G,https://www.wis-tns.org/object/2024as,['https://fallingstar-data.com/forcedphot/']
