full_name,tns_ra_hms,tns_dec_hms,discoverymag,location,redshift,type,discoverydate,internal_names,host_name,host_ra_rms,host_dec_rms,ra,declination,filter,host_ra,host_dec,host_redshift,host_type
AT2023aagg,6:19:13.4296,+80:4:7.841,17.3392,center,,,2023-12-15 09:45:13.824,ZTF23abunpxf,IC 0440,,,94.8059567,80.0688446,r,94.80546,80.06847,0.014483,G
SN2023aaby,8:40:45.3394,-4:7:1.24,17.943,not_center,0.014,SN Ic,2023-12-14 12:58:19.200,ATLAS23xjl,NGC 2642,,,130.188914,-4.116882,cyan,130.18488,-4.12172,0.014473,G
SN2023zmf,8:27:50.7344,+5:30:50.587,18.691,not_center,0.075,SN Ia,2023-12-10 12:37:07.392,"ATLAS23wzf, PS23lwh",WISEA J082750.39+053051.4,,,126.961393177,5.5140518397,cyan,126.96062,5.51439,0.068387,G
AT2023znj,9:23:46.6974,+7:8:21.085,18.71,center,,,2023-12-09 08:36:57.600,"ZTF23absdoxb, ATLAS23xel, PS23lwf",WISEA J092346.67+070820.8,,,140.94457261,7.13919027917,r,140.94448,7.13907,0.079643,G
