full_name,tns_ra_hms,tns_dec_hms,tns_ra,tns_dec,discoverydate,discovery_mag,filter,location,redshift,type,internal_names,host_name,host_ra_hms,host_dec_hms,host_ra,host_dec,host_redshift,host_type,TNS_link,ZTF_link
AT2023abim,11:49:12.6888,+43:7:28.992,177.30287,43.12472,2023-12-25 13:03:44.928,17.72,orange,center,,nan,ATLAS23xvy,SDSS J114912.60+430728.5,11:49:12.6072,+43:7:28.524,177.30253,43.12459,--,G,https://www.wis-tns.org/object/2023abim,
AT2023abjv,21:29:22.2093,+41:47:21.722,322.342538571,41.7893671429,2023-12-25 06:05:16.224,17.552,orange,not_center,,nan,ATLAS23xwp,2MASS J21292205+4147124,21:29:22.056,+41:47:12.444,322.3419,41.78679,--,IrS,https://www.wis-tns.org/object/2023abjv,
AT2023abiw,21:50:33.4399,+5:55:34.252,327.639333,5.926181,2023-12-24 17:21:07.200,16.58,G,center,,nan,Gaia23dts,GALEXASC J215033.47+055534.0,21:50:33.4728,+5:55:34.032,327.63947,5.92612,--,UvS,https://www.wis-tns.org/object/2023abiw,
AT2023abiv,22:3:28.2199,+30:56:36.352,330.867583,30.943431,2023-12-24 13:35:02.400,15.88,G,not_center,,nan,Gaia23dtr,WISEA J220327.56+305642.8,22:3:27.5904,+30:56:42.612,330.86496,30.94517,--,IrS,https://www.wis-tns.org/object/2023abiv,
AT2023abjm,11:27:46.2185,+40:30:17.784,171.942577,40.50494,2023-12-24 11:58:29.280,18.359,orange,center,,nan,ATLAS23xwg,WISEA J112746.15+403018.5,11:27:46.1568,+40:30:18.468,171.94232,40.50513,0.060538,G,https://www.wis-tns.org/object/2023abjm,
AT2023abit,22:54:19.6099,+60:48:51.3,343.581708,60.81425,2023-12-24 00:21:36.000,14.56,G,center,,nan,Gaia23dtn,2MASS J22541960+6048514,22:54:19.6056,+60:48:51.444,343.58169,60.81429,--,IrS,https://www.wis-tns.org/object/2023abit,
AT2023abiq,21:54:43.9901,-13:5:2.76,328.683292,-13.0841,2023-12-23 00:46:04.800,18.29,G,not_center,,nan,Gaia23dti,WISEA J215444.18-130507.3,21:54:44.184,-13:5:7.224,328.6841,-13.08534,--,UvS,https://www.wis-tns.org/object/2023abiq,
AT2023aaif,12:30:55.2439,+3:29:29.496,187.730182739,3.49152680251,2023-12-16 14:44:23.424,18.408,orange,center,,nan,"ATLAS23xns, PS23mvm",[EKL2017] ECO 2890,12:30:55.2,+3:29:30.84,187.73,3.4919,0.017058,GGroup,https://www.wis-tns.org/object/2023aaif,
AT2023zlx,10:4:41.4101,+1:11:51.5,151.172542,1.197639,2023-12-10 15:39:28.224,18.519,cyan,not_center,,nan,"ATLAS23wyk, Gaia23dtk",WISEA J100441.24+011155.4,10:4:41.2416,+1:11:55.356,151.17184,1.19871,0.070241,G,https://www.wis-tns.org/object/2023zlx,
AT2023zkh,14:9:15.4988,+2:46:32.493,212.314578389,2.7756925014,2023-12-09 13:06:14.400,18.44,r,not_center,,nan,"ZTF23absjjax, PS23mvl",WISEA J140915.48+024637.5,14:9:15.4824,+2:46:36.984,212.31451,2.77694,0.076729,G,https://www.wis-tns.org/object/2023zkh,https://alerce.online/object/ZTF23absjjax
SN2023zax,9:45:34.9099,+7:10:20.28,146.395458,7.1723,2023-12-06 13:43:28.704,17.665,orange,not_center,0.051,SN Ia,"ATLAS23wur, ZTF23absdqly, PS23lpo, Gaia23dtq",WISEA J094535.13+071018.9,9:45:35.1312,+7:10:18.984,146.39638,7.17194,--,IrS,https://www.wis-tns.org/object/2023zax,https://alerce.online/object/ZTF23absdqly
AT2023ylz,10:6:20.9299,-6:15:22.252,151.587208,-6.256181,2023-11-24 07:44:59.424,18.429,orange,not_center,,nan,"ATLAS23whu, ZTF23absirul, Gaia23dtj",LCRS B100351.2-060043,10:6:21.1488,-6:15:23.616,151.58812,-6.25656,0.0189,G,https://www.wis-tns.org/object/2023ylz,https://alerce.online/object/ZTF23absirul
AT2023uhx,11:48:39.5078,+48:41:31.069,177.164615877,48.6919635931,2023-10-07 19:35:32.000,17.2,Clear,not_center,0.003226,LRN,", ZTF23aajlkxc, ATLAS23uwy, GOTO23bcx, PS23mva",HIJASS J1148+48,11:48:42.0792,+48:41:45.384,177.17533,48.69594,0.003222,G,https://www.wis-tns.org/object/2023uhx,https://alerce.online/object/ZTF23aajlkxc
