full_name,tns_ra_hms,tns_dec_hms,tns_ra,tns_dec,discoverydate,discovery_mag,filter,location,redshift,type,internal_names,host_name,host_ra_hms,host_dec_hms,host_ra,host_dec,host_redshift,host_type,TNS_link,ZTF_link
AT2023aans,19:26:2.678,+55:16:47.562,291.511158333,55.2798783333,2023-12-19 04:43:21.792,17.436,orange,not_center,,,ATLAS23xsp,WISEA J192603.42+551645.8,19:26:3.4248,+55:16:45.84,291.51427,55.2794,--,IrS,https://www.wis-tns.org/object/2023aans,
AT2023aakk,22:52:33.8266,+46:34:17.398,343.140944286,46.5714995238,2023-12-17 05:33:44.928,17.092,orange,not_center,,CV,ATLAS23xpq,WISEA J225233.10+463420.9,22:52:33.1008,+46:34:20.892,343.13792,46.57247,--,IrS,https://www.wis-tns.org/object/2023aakk,
AT2023aais,7:34:57.9428,-2:49:28.482,113.741428333,-2.82457833333,2023-12-16 21:33:24.480,15.66,Clear,not_center,,CV,"KATS23Y001, ATLAS23xqn",WISEA J073457.67-024919.1,7:34:57.7032,-2:49:19.164,113.74043,-2.82199,--,IrS,https://www.wis-tns.org/object/2023aais,
AT2023aabz,23:14:17.6654,+52:55:54.642,348.573605833,52.931845,2023-12-13 05:54:50.688,17.14,cyan,not_center,,CV,ATLAS23xjm,2MASS J23141826+5255407,23:14:18.2688,+52:55:40.728,348.57612,52.92798,--,IrS,https://www.wis-tns.org/object/2023aabz,
AT2023zfy,10:22:43.5141,-5:22:54.318,155.681308835,-5.38175496577,2023-12-09 09:37:26.400,18.58,r,center,,,"ZTF23absirxl, PS23mao",WISEA J102243.57-052254.0,10:22:43.5696,-5:22:54.912,155.68154,-5.38192,0.072013,G,https://www.wis-tns.org/object/2023zfy,https://alerce.online/object/ZTF23absirxl
SN2023zfs,10:34:14.0111,+5:47:45.804,158.558379735,5.79605666266,2023-12-09 09:37:26.400,18.76,r,not_center,0.083825,SN Ia,"ZTF23absdvtp, PS23lup, ATLAS23xkn",WISEA J103414.30+054743.9,10:34:14.292,+5:47:43.836,158.55955,5.79551,0.083825,G,https://www.wis-tns.org/object/2023zfs,https://alerce.online/object/ZTF23absdvtp
SN2023ywg,2:35:40.6462,+3:18:32.063,38.9193592844,3.30890631062,2023-12-02 20:34:54.048,18.795,orange,not_center,0.0817958,SN Ia,"ATLAS23wrb, PS23llj, ZTF23absevxk",WISEA J023540.47+031834.4,2:35:40.5696,+3:18:35.388,38.91904,3.30983,0.082,G,https://www.wis-tns.org/object/2023ywg,https://alerce.online/object/ZTF23absevxk
SN2023wed,9:58:0.3876,-3:0:9.378,149.501615165,-3.00260499022,2023-11-02 06:03:17.856,18.46,L,not_center,0.1,SN Ia,"GOTO23bci, ZTF23abnivuj, ATLAS23wcx, PS23mas",SDSS J095800.58-030010.2,9:58:0.5832,-3:0:10.224,149.50243,-3.00284,--,G,https://www.wis-tns.org/object/2023wed,https://alerce.online/object/ZTF23abnivuj
