full_name,tns_ra_hms,tns_dec_hms,tns_ra,tns_dec,discoverydate,discovery_mag,filter,location,redshift,type,internal_names,host_name,host_ra_hms,host_dec_hms,host_ra,host_dec,host_redshift,host_type,TNS_link,ZTF_link
AT2023acck,13:1:59.7414,+69:47:12.363,195.4989225,69.7867675,2023-12-29 13:45:02.880,17.646,orange,not_center,,nan,ATLAS23xze,CGCG 335-033,13:1:58.7496,+69:47:19.104,195.49479,69.78864,0.038783,G,https://www.wis-tns.org/object/2023acck,['https://asas-sn.osu.edu/']
AT2023acax,14:51:38.7389,+6:57:42.926,222.911412,6.961924,2023-12-28 15:11:37.248,18.362,orange,center,,nan,ATLAS23xyo,WISEA J145138.72+065742.9,14:51:38.7696,+6:57:43.992,222.91154,6.96222,--,RadioS,https://www.wis-tns.org/object/2023acax,['https://asas-sn.osu.edu/']
AT2023accj,13:37:0.1827,+38:35:23.492,204.250761111,38.5898588889,2023-12-28 14:02:21.408,18.473,orange,not_center,,nan,ATLAS23xzd,MCG +07-28-037,13:37:0.1248,+38:35:26.304,204.25052,38.59064,0.060534,G,https://www.wis-tns.org/object/2023accj,['https://asas-sn.osu.edu/']
AT2023abtk,2:0:26.5706,+21:9:57.317,30.110711,21.1659214,2023-12-28 08:53:43.296,18.765,orange,not_center,,nan,"ATLAS23xxt, ZTF23abvnhfx",WISEA J020026.40+210957.9,2:0:26.4288,+21:9:57.924,30.11012,21.16609,--,IrS,https://www.wis-tns.org/object/2023abtk,"['https://alerce.online/object/ZTF23abvnhfx', 'https://asas-sn.osu.edu/']"
AT2023accd,21:4:41.0201,+39:40:52.612,316.170917,39.681281,2023-12-27 19:46:33.600,17.74,G,center,,nan,Gaia23dvd,WISEA J210441.04+394051.9,21:4:41.0448,+39:40:51.924,316.17102,39.68109,--,IrS,https://www.wis-tns.org/object/2023accd,['http://gsaweb.ast.cam.ac.uk/alerts/alert/Gaia23dvd']
AT2023acbz,21:21:59.7401,+18:30:42.188,320.498917,18.511719,2023-12-27 13:22:04.800,18.75,G,center,,nan,Gaia23dux,WISEA J212159.79+183042.1,21:21:59.7912,+18:30:42.12,320.49913,18.5117,--,IrS,https://www.wis-tns.org/object/2023acbz,['http://gsaweb.ast.cam.ac.uk/alerts/alert/Gaia23dux']
AT2023acbs,2:44:5.1019,+16:40:8.869,41.0212581,16.6691303,2023-12-27 05:29:45.600,18.37,g,center,,nan,"ZTF23abvnmam, ATLAS23xyu",GALEXASC J024405.02+164010.1,2:44:5.0208,+16:40:10.164,41.02092,16.66949,--,UvS,https://www.wis-tns.org/object/2023acbs,"['https://alerce.online/object/ZTF23abvnmam', 'https://asas-sn.osu.edu/']"
AT2023acca,21:29:48.24,+8:7:1.78,322.451,8.117161,2023-12-27 05:24:00.000,17.22,G,center,,nan,Gaia23duy,WISEA J212948.24+080701.9,21:29:48.2256,+8:7:2.172,322.45094,8.11727,--,UvS,https://www.wis-tns.org/object/2023acca,['http://gsaweb.ast.cam.ac.uk/alerts/alert/Gaia23duy']
AT2023accb,10:7:13.6901,+65:35:1.14,151.807042,65.58365,2023-12-27 01:19:12.000,18.14,G,center,,nan,Gaia23duz,WISEA J100713.68+653501.1,10:7:13.6608,+65:35:0.996,151.80692,65.58361,0.1266,G,https://www.wis-tns.org/object/2023accb,['http://gsaweb.ast.cam.ac.uk/alerts/alert/Gaia23duz']
AT2023abim,11:49:12.6795,+43:7:28.871,177.302831345,43.1246864727,2023-12-25 13:03:44.928,17.72,orange,center,,nan,"ATLAS23xvy, ZTF23abvgvab, PS23nlt",SDSS J114912.60+430728.5,11:49:12.6072,+43:7:28.524,177.30253,43.12459,--,G,https://www.wis-tns.org/object/2023abim,"['https://alerce.online/object/ZTF23abvgvab', 'https://asas-sn.osu.edu/']"
AT2023abde,22:32:50.0605,+23:56:30.525,338.208585303,23.9418126139,2023-12-24 05:46:56.352,18.442,orange,not_center,,nan,"ATLAS23xuz, PS23mqp",WISEA J223249.79+235633.1,22:32:49.7784,+23:56:33.288,338.20741,23.94258,0.044352,G,https://www.wis-tns.org/object/2023abde,['https://asas-sn.osu.edu/']
AT2023abzx,6:15:44.3372,-12:47:32.412,93.9347383299,-12.7923367753,2023-11-04 14:41:16.800,18.3,w,not_center,,nan,PS23njp,WISEA J061543.91-124726.8,6:15:43.9152,-12:47:26.808,93.93298,-12.79078,--,IrS,https://www.wis-tns.org/object/2023abzx,
SN2023way,21:24:11.1499,+15:59:22.92,321.046458,15.9897,2023-10-29 13:54:57.312,18.37,Clear,not_center,0.018429,SN II,"XM123MZ, ZTF23abndgbw, ATLAS23uxv, Gaia23dva",CGCG 449-024,21:24:11.4432,+15:59:17.412,321.04768,15.98817,0.018429,G,https://www.wis-tns.org/object/2023way,"['https://alerce.online/object/ZTF23abndgbw', 'http://gsaweb.ast.cam.ac.uk/alerts/alert/Gaia23dva', 'https://asas-sn.osu.edu/']"
