full_name,tns_ra_hms,tns_dec_hms,discoverymag,location,redshift,type,discoverydate,internal_names,host_name,host_ra_rms,host_dec_rms,ra,declination,filter,host_ra,host_dec,host_redshift
SN2023yfh,0:59:48.9323,+36:43:37.047,17.94,center,0.035,SN II,2023-11-20 04:10:33.600,ZTF23abrrlrf,WISEA J005948.80+364338.6,,,14.9538845,36.7269574,r,14.95308,36.72749,--
SN2023ycr,11:37:59.0102,+29:57:21.045,18.245,center,0.031,SN II,2023-11-19 14:33:06.912,ATLAS23vzk,WISEA J113759.03+295719.2,,,174.495875714,29.9558457143,cyan,174.49587,29.95571,--
SN2023yep,1:35:24.4789,0:44:34.39,18.54,center,0.08152,SN Ia-91T-like,2023-11-18 21:56:27.744,"GOTO23ble, ATLAS23vlm",2MASS J01352446-0044409,,,23.8519954839,-0.742886129032,L,23.85195,-0.74476,0.08152
SN2023xwi,9:47:35.5637,+71:14:24.498,18.5,not_center,0.01,SN Ib-Ca-rich,2023-11-15 21:04:36.480,"MASTER OT J094735.55+711423.6, ATLAS23vxx, GOTO23bld, ZTF23abrgldj",WISEA J094733.93+711437.3,,,146.8981821,71.2401383,Clear,146.89139,71.24371,--
SN2023xtg,1:49:5.607,-14:1739:12.601,18.1,not_center,0.018686,SN Ia,2023-11-14 12:39:33.000,", ATLAS23vth, ZTF23abqqixn, PS23kun",WISEA J014905.81-145922.4,,,27.2733626524,-14.9868336444,Clear,27.27423,-14.98958,--
AT2023xiy,12:14:48.6936,+56:5:19.74,18.66,center,,,2023-11-10 06:02:58.848,"GOTO23bfa, ATLAS23wdb",SDSS J121448.65+560519.6,,,183.70289,56.0888166667,L,183.70274,56.08878,--
SN2023uta,7:9:38.285,+54:56:59.745,16.8,center,0.036812,SN Ia,2023-10-12 08:38:24.000,"ASASSN-23hb, ATLAS23ttz, PS23kuo",WISEA J070938.25+545701.2,,,107.409521039,54.9499292327,g,107.40917,54.95021,0.036812
