full_name,tns_ra_hms,tns_dec_hms,discoverymag,location,redshift,type,discoverydate,internal_names,host_name,host_ra_rms,host_dec_rms,ra,declination,filter,host_ra,host_dec,host_redshift,host_type
AT2023zqs,14:16:5.416,-1:135:35.603,17.8681,not_center,,,2023-12-12 13:08:10.176,ZTF23abtnhva,CGCG 018-097,,,214.0225667,-1.2598898,r,214.02193,-1.26039,0.049872,G
AT2023ztw,21:9:3.3031,-5:637:45.545,18.134,not_center,,,2023-12-12 05:17:57.984,ATLAS23xik,WISEA J210903.56-053757.6,,,317.263763,-5.629318,orange,317.26491,-5.63276,--,G
AT2023zqu,20:50:33.5872,+5:30:5.382,18.592,not_center,,,2023-12-12 04:46:18.912,ATLAS23xdr,WISEA J205033.10+053002.8,,,312.639946667,5.501495,orange,312.63792,5.50082,--,IrS
AT2023zos,22:13:52.02,+52:43:48.101,17.08,not_center,,,2023-12-11 15:31:52.032,KATS23X001,WISEA J221353.49+524359.2,,,333.46675,52.730028,Clear,333.47288,52.73312,--,IrS
AT2023ztr,3:1:19.9811,+48:41:57.397,17.23,not_center,,,2023-12-11 09:23:07.584,ATLAS23xhv,WISEA J030120.32+484151.3,,,45.3332546154,48.6992769231,orange,45.33453,48.69765,--,IrS
AT2023zor,9:37:35.8902,-8:1012:49.692,18.245,center,,,2023-12-10 15:05:26.592,ATLAS23xdb,WISEA J093735.88-085249.8,,,144.3995425,-8.88047,cyan,144.39954,-8.88053,0.069195,G
AT2023zrv,15:46:10.2315,+8:8:5.575,18.38,center,,,2023-12-10 13:26:24.000,ZTF23absqtns,WISEA J154610.14+080805.7,,,236.5426313,8.1348819,r,236.54224,8.13486,0.087963,G
AT2023zqm,14:32:40.3256,+34:39:49.02,17.45,not_center,,,2023-12-10 13:01:55.200,ZTF23absqqnj,SDWFS J143240.98+343950.4,,,218.1680235,34.6636168,r,218.17073,34.66399,--,IrS
AT2023zpr,7:16:19.6739,+1:23:18.819,18.2387,not_center,,,2023-12-10 10:04:11.997,"ZTF23abscvxz, ATLAS23xeg",WISEA J071619.80+012319.9,,,109.0819747,1.3885609,r,109.08253,1.38887,--,IrS
AT2023zok,23:41:24.7939,-16:1924:50.532,18.351,not_center,,,2023-12-10 06:18:36.288,ATLAS23xcu,WISEA J234124.75-160453.4,,,355.353307778,-16.0807033333,cyan,355.35343,-16.08153,--,G
AT2023zpg,3:20:55.481,+8:0:17.937,18.74,center,,,2023-12-10 05:03:50.400,"ZTF23absmnfp, ATLAS23xhz",WISEA J032055.45+080017.6,,,50.2311709,8.0049824,r,50.23108,8.00494,0.06552,G
AT2023zpy,13:8:4.0099,+29:50:27.848,18.46,center,,,2023-12-10 01:49:26.400,Gaia23doo,[HB89] 1305+301 NED02,,,197.016708,29.841069,G,197.0167,29.84108,1.286041,QSO
AT2023zsm,14:45:10.7813,+3:19:58.052,18.7899,center,,,2023-12-09 13:25:05.376,ZTF23absjlkt,WISEA J144510.76+031958.0,,,221.2949222,3.3327921,r,221.29483,3.33277,0.026487,G
AT2023zqb,1:52:51.24,+52:11:9.892,13.66,center,,,2023-12-09 12:18:43.200,Gaia23dot,OZ Per,,,28.2135,52.186081,G,28.21344,52.18611,--,IrS
SN2023zms,13:10:53.5712,+8:42:11.864,17.2196,not_center,0.021,SN Ib,2023-12-09 12:11:55.997,ZTF23absjgsh,WISEA J131053.83+084212.7,,,197.7232133,8.7032956,g,197.72438,8.7035,0.021324,G
AT2023znw,12:55:43.137,+63:20:46.527,18.48,center,,,2023-12-09 10:22:04.800,ZTF23absiycs,WISEA J125543.04+632047.6,,,193.92973749381684,63.34625750615563,g,193.92928,63.3466,0.080193,G
AT2023zpf,2:8:52.7201,+7:58:25.399,17.8,not_center,,,2023-12-09 10:06:14.400,,WISEA J020852.42+075821.2,,,32.219667,7.973722,Clear,32.21845,7.97256,--,IrS
AT2023zft,10:28:28.1463,+45:30:48.646,18.48,not_center,,,2023-12-09 08:42:43.200,"ZTF23absdnmt, ATLAS23xab",SDSS J102828.11+453052.8,,,157.11727637892463,45.513512694978566,r,157.11715,45.51467,--,G
AT2023znj,9:23:46.6972,+7:8:21.14,18.71,center,,,2023-12-09 08:36:57.600,"ZTF23absdoxb, ATLAS23xel",WISEA J092346.67+070820.8,,,140.94457175022896,7.1392055051718994,r,140.94448,7.13907,0.079643,G
AT2023zem,5:26:50.6497,-15:1854:52.155,18.5,center,,,2023-12-09 05:32:38.400,ZTF23absgcqv,WISEA J052650.62-155452.0,,,81.71104061834446,-15.914487586753438,g,81.71079,-15.9145,0.071154,G
AT2023zpb,1:41:27.57,+43:23:26.768,17.96,center,,,2023-12-08 18:08:38.400,Gaia23doe,WISEA J014127.56+432326.7,,,25.364875,43.390769,G,25.36482,43.39072,--,IrS
AT2023zss,15:8:39.172,+44:36:5.052,18.634,not_center,,,2023-12-08 15:17:03.840,ATLAS23xfs,WISEA J150839.55+443601.4,,,227.163216667,44.6014033333,orange,227.16484,44.60039,0.065561,G
SN2023zdx,14:27:36.6776,+41:15:34.941,17.049,not_center,0.0088,SN IIP,2023-12-08 15:15:07.200,"ATLAS23wwp, ZTF23absjgxb",SIT 0106,,,216.9028232,41.2597058,orange,216.903,41.258,0.009,GTrpl
AT2023zoj,11:4:0.7048,+18:58:28.833,18.642,not_center,,,2023-12-08 13:59:33.792,ATLAS23xcr,2MASX J11040042+1858293,,,166.002936579,18.9746757895,orange,166.00169,18.97469,0.066665,G
AT2023zpc,13:29:9.8599,+55:7:30.76,18.33,center,,,2023-12-08 13:24:57.600,Gaia23dof,WISEA J132909.87+550730.8,,,202.291083,55.125211,G,202.29114,55.12522,0.813714,QSO
AT2023zqy,11:15:21.8466,+31:31:24.925,18.744,center,,,2023-12-06 14:33:30.240,ATLAS23xdz,WISEA J111521.83+313124.8,,,168.841027692,31.5235902564,orange,168.84106,31.52356,0.026807,G
AT2023yyd,14:38:7.7787,+17:27:0.375,18.099,not_center,,,2023-12-05 15:15:39.168,"ATLAS23wtz, ZTF23abtmzqz",CGCG 104-054,,,219.5324113,17.4501042,orange,219.53471,17.45114,0.048265,G
