full_name,values,tns_ra_hms,tns_dec_hms,last_mag,last_date,location,tns_ra,tns_dec,discoverydate,discovery_mag,reporting_group,filter,ang_diff,Abs_Mag,Mag_distance(Mpc),center_distance(pc),redshift,type,internal_names,host_name,host_redshift,host_type,TNS_link,Link
SN2024we,0,23:42:17.0976,+26:13:55.812,17.0,2024-01-11 02:38:24,非中心,355.57124,26.23217,2024-01-11 02:38:24.000,17.0,ASAS-SN,g,3.247486904404773,-18.60852266001089,132.34408388248704,2083.659772617529,0.032,SN Ia,ASASSN-24ag,NGC 7735,0.032009,G,https://www.wis-tns.org/object/2024we,
AT2024vs,0,7:51:7.26,+72:57:57.1,16.8,2024-01-10 21:23:25,非中心,117.78025,72.965861,2024-01-10 21:23:24.864,16.8,XOSS,Clear,3.5160299803275987,,,,,nan,PSP24B,KUG 0745+730,--,G,https://www.wis-tns.org/object/2024vs,
AT2024vt,1,22:40:4.02,+1:37:53.44,17.97,2024-01-09 17:16:48,中心,340.01675,1.631511,2024-01-09 17:16:48.000,17.97,GaiaAlerts,G,0.9827130480111427,,,,,nan,Gaia24afc,WISEA J224004.04+013752.3,0.052402,G,https://www.wis-tns.org/object/2024vt,['http://gsaweb.ast.cam.ac.uk/alerts/alert/Gaia24afc']
AT2024wf,1,9:56:33.5012,+1:50:57.26,18.3615,2024-01-08 11:26:49,中心,149.1395883,1.849239,2024-01-08 11:26:49.344,18.3615,ZTF,r,0.5022996381936802,,,,,nan,ZTF24aabbzxq,CGCG 008-003,0.032751,G,https://www.wis-tns.org/object/2024wf,['https://alerce.online/object/ZTF24aabbzxq']
AT2024vu,0,23:20:19.0854,-1:3:59.307,17.13,2024-01-07 03:15:50,非中心,350.0795224,-1.0664743,2024-01-05 03:51:50.400,17.08,ZTF,r,2.59817490052658,,,,,nan,ZTF24aaaeljz,RCS 10040702780,0.323,G,https://www.wis-tns.org/object/2024vu,['https://alerce.online/object/ZTF24aaaeljz']
AT2024dc,0,14:4:45.4999,+26:18:7.42,18.75,2024-01-09 07:24:58,中心,211.189583,26.302061,2024-01-02 11:20:21.002,18.3524,ALeRCE,g,1.275833741278189,,,,,nan,"ZTF24aaaddwv, Gaia24aff",WISEA J140445.44+261806.5,0.089845,G,https://www.wis-tns.org/object/2024dc,"['https://alerce.online/object/ZTF24aaaddwv', 'http://gsaweb.ast.cam.ac.uk/alerts/alert/Gaia24aff']"
