full_name,tns_ra_hms,tns_dec_hms,discoverymag,location,redshift,type,discoverydate,internal_names,host_name,host_ra_rms,host_dec_rms,ra,declination,filter,host_ra,host_dec,host_redshift,host_type
AT2023zaq,23:40:57.8099,+5:7:45.186,18.71,not_center,,,2023-12-07 02:45:36.000,ZTF23absarbp,WISEA J234057.89+050750.5,,,355.2408746,5.1292183,g,355.24138,5.13047,0.032406,G
AT2023zax,9:45:34.9236,+7:10:20.424,17.665,not_center,,,2023-12-06 13:43:28.704,ATLAS23wur,WISEA J094535.13+071018.9,,,146.395515,7.17234,orange,146.39638,7.17194,--,IrS
AT2023zbg,13:55:10.8401,+5:11:29.692,18.65,center,,,2023-12-04 08:03:50.400,Gaia23dmt,WISEA J135510.84+051129.6,,,208.795167,5.191581,G,208.79519,5.19158,0.605814,QSO
AT2023zbd,23:22:30.87,+62:57:21.488,15.23,center,,,2023-12-04 06:27:21.600,Gaia23dmq,WISEA J232230.88+625721.5,,,350.628625,62.955969,G,350.62863,62.95599,--,IrS
AT2023zbi,13:25:5.9599,-19:2326:8.0,16.62,not_center,,,2023-12-04 02:29:45.600,Gaia23dmw,VV 485 NED02,,,201.274833,-19.768889,G,201.27908,-19.76917,--,G
AT2023yum,0:55:2.8546,+0:57:4.886,18.706,center,,,2023-12-02 19:06:03.168,"ATLAS23wpe, ZTF23abrzssa",WISEA J005502.85+005703.9,,,13.7618942,0.9513572,orange,13.76187,0.95132,0.063832,G
SN2023ypp,3:31:49.2111,-4:522:44.301,18.056,not_center,0.028,SN Ia,2023-11-29 22:01:22.368,"ATLAS23wkh, PS23lmi",WISEA J033150.24-044303.9,,,52.955046385,-4.71230589293,orange,52.95934,-4.71777,--,IrS
SN2023yfh,0:59:48.9199,+36:43:37.02,17.94,not_center,0.035,SN II,2023-11-20 04:10:33.600,"ZTF23abrrlrf, Gaia23dmx",WISEA J005948.80+364338.6,,,14.953833,36.72695,r,14.95308,36.72749,--,UvS
