full_name,tns_ra_hms,tns_dec_hms,tns_ra,tns_dec,discoverydate,discovery_mag,filter,location,redshift,type,internal_names,host_name,host_ra_hms,host_dec_hms,host_ra,host_dec,host_redshift,host_type,TNS_link,ZTF_link
AT2023acdn,9:49:37.8748,-10:12:4.005,147.4078115,-10.2011124,2023-12-30 10:03:06.998,18.1908,r,center,,nan,ZTF23abwbttd,WISEA J094937.95-101204.5,9:49:37.9512,-10:12:4.392,147.40813,-10.20122,0.047992,G,https://www.wis-tns.org/object/2023acdn,['https://alerce.online/object/ZTF23abwbttd']
AT2023abdi,12:2:2.8281,+33:37:10.658,180.511783874,33.6196271297,2023-12-17 13:14:04.416,18.672,orange,not_center,,nan,"ATLAS23xvb, PS23nml",KUG 1159+338,12:2:2.8344,+33:37:12.9,180.51181,33.62025,0.024217,G,https://www.wis-tns.org/object/2023abdi,['https://asas-sn.osu.edu/']
AT2023zao,13:6:23.4067,+35:14:1.332,196.597527763,35.2337033454,2023-12-06 15:15:45.216,18.251,orange,not_center,,nan,"ATLAS23wuh, PS23nmk",SDSSCGB 05846,13:6:24.1008,+35:13:48.108,196.60042,35.23003,0.016,GGroup,https://www.wis-tns.org/object/2023zao,['https://asas-sn.osu.edu/']
