full_name,values,tns_ra_hms,tns_dec_hms,last_mag,last_date,location,tns_ra,tns_dec,discoverydate,discovery_mag,reporting_group,filter,ang_diff,Abs_Mag,Mag_distance(Mpc),center_distance(pc),redshift,type,internal_names,host_name,host_redshift,host_type,TNS_link,Link
AT2024agb,0,13:55:6.202,+20:29:5.379,18.6162,2024-01-15 12:28:31,中心,208.7758415,20.4848274,2024-01-15 12:28:30.996,18.6162,ALeRCE,g,0.903040006031944,,,,,nan,ZTF19acvevgj,WISEA J135506.25+202904.8,0.070505,G,https://www.wis-tns.org/object/2024agb,['https://alerce.online/object/ZTF19acvevgj']
AT2024ado,0,14:50:13.765,+29:46:23.263,18.792,2024-01-14 14:49:13,非中心,222.557354286,29.7731285714,2024-01-14 14:49:12.864,18.792,ATLAS,orange,8.324937924543363,,,,,nan,ATLAS24aur,CGCG 164-033 NED02,0.049544,G,https://www.wis-tns.org/object/2024ado,['https://fallingstar-data.com/forcedphot/']
AT2024acu,0,2:56:8.8181,+27:42:2.488,18.724,2024-01-14 07:18:48,非中心,44.036742,27.700691,2024-01-14 07:18:47.808,18.724,ATLAS,orange,2.524373948051592,,,,,nan,ATLAS24atw,FGC 0362,0.021588,G,https://www.wis-tns.org/object/2024acu,['https://fallingstar-data.com/forcedphot/']
AT2024acv,0,22:40:30.9484,+34:49:3.018,18.077,2024-01-14 05:45:11,非中心,340.128951818,34.817505,2024-01-14 05:45:10.944,18.077,ATLAS,orange,7.442037655768748,,,,,nan,ATLAS24aud,WISEA J224030.34+344902.5,--,IrS,https://www.wis-tns.org/object/2024acv,['https://fallingstar-data.com/forcedphot/']
AT2024acn,0,11:10:40.4608,+21:6:27.247,16.85,2024-01-15 09:36:00,中心,167.6685865,21.1075686,2024-01-13 19:30:26.000,17.57,Tomo-e Gozen,Other,1.4653657259709312,,,,,nan,"Tomo-e 202401aaayb, ATLAS24att, ZTF24aabpojp",WISEA J111040.61+210626.8,--,G,https://www.wis-tns.org/object/2024acn,"['https://alerce.online/object/ZTF24aabpojp', 'https://fallingstar-data.com/forcedphot/']"
AT2024yq,0,14:7:51.4566,-10:3:42.145,17.6132,2024-01-15 11:52:42,非中心,211.9644023,-10.0617069,2024-01-13 14:43:15.168,17.869,ATLAS,orange,3.4986426643994206,,,,,nan,"ATLAS24asj, ZTF24aabvtdh",WISEA J140751.29-100338.3,--,UvS,https://www.wis-tns.org/object/2024yq,"['https://alerce.online/object/ZTF24aabvtdh', 'https://fallingstar-data.com/forcedphot/']"
SN2024ym,0,10:11:37.4024,+74:59:38.029,18.38,2024-01-13 11:54:14,中心,152.9058432,74.993897,2024-01-13 09:33:07.200,18.38,ZTF,r,1.4943482709695657,-17.607090536107872,157.54989106371332,1141.418216641685,0.038,SN Ia,ZTF24aabplhb,WISEA J101137.87+745937.4,--,UvS,https://www.wis-tns.org/object/2024ym,['https://alerce.online/object/ZTF24aabplhb']
SN2024we,0,23:42:17.09,+26:13:54.816,17.049,2024-01-15 05:28:23,非中心,355.571208333,26.2318933333,2024-01-11 02:38:24.000,17.0,ASAS-SN,g,3.0206886183990975,-18.60852266001089,132.34408388248704,1938.140951769428,0.032,SN Ia,"ASASSN-24ag, ATLAS18whp",NGC 7735,0.032009,G,https://www.wis-tns.org/object/2024we,['https://fallingstar-data.com/forcedphot/']
SN2024vs,0,7:51:7.286,+72:57:57.438,17.01,2024-01-13 06:46:05,非中心,117.7803585,72.9659549,2024-01-10 21:23:24.864,16.8,XOSS,Clear,3.7997934070821353,-16.262774224923536,40.9783856200425,754.9004716072295,0.01,SN II,"PSP24B, ZTF24aabpzuz",KUG 0745+730,--,G,https://www.wis-tns.org/object/2024vs,['https://alerce.online/object/ZTF24aabpzuz']
SN2024ka,1,12:4:9.7779,+1:49:33.695,17.52,2024-01-15 09:36:00,中心,181.0407412,1.8260263,2024-01-05 14:06:06.048,17.767,ATLAS,orange,0.561333247921347,-16.454416278274085,69.86879539323924,190.14236388662223,0.017,SN Ib,"ATLAS24ahk, BGEM J120409.76+014933.6, ZTF24aabvdxj",CGCG 013-056,0.01717,G,https://www.wis-tns.org/object/2024ka,"['https://alerce.online/object/ZTF24aabvdxj', 'https://fallingstar-data.com/forcedphot/']"
