full_name,values,tns_ra_hms,tns_dec_hms,last_mag,last_date,location,tns_ra,tns_dec,discoverydate,discovery_mag,reporting_group,filter,ang_diff,Abs_Mag,Mag_distance(Mpc),center_distance(pc),redshift,type,internal_names,host_name,host_redshift,host_type,TNS_link,Link
AT2024aaf,0,4:49:7.5799,+70:58:12.698,16.4,2024-01-14 11:42:20,非中心,72.281583,70.970194,2024-01-14 11:23:22.848,16.6,MASTER,Clear,11.779165656722903,,,,,nan,MASTER OT J044907.58+705812.7,WISEA J044908.35+705823.8,--,IrS,https://www.wis-tns.org/object/2024aaf,
AT2024aag,0,13:14:9.251,-5:35:56.264,18.96,2024-01-14 11:38:24,非中心,198.5385459,-5.5989621,2024-01-14 11:15:21.600,18.71,ZTF,g,7.311897627613816,,,,,nan,ZTF24aacaosi,MCG -01-34-013,0.017852,G,https://www.wis-tns.org/object/2024aag,['https://alerce.online/object/ZTF24aacaosi']
SN2024iy,1,9:59:19.9315,-3:21:16.911,19.08,2024-01-05 12:34:58,中心,149.833047942,-3.35469756841,2024-01-05 09:50:24.000,19.36,ZTF,g,0.6933414595252334,-17.917374787836472,285.4137932791824,959.3939926123843,0.068,SN Ia,"ZTF24aaahxph, ATLAS24aia, PS24ip",WISEA J095920.03-032116.8,0.06835,G,https://www.wis-tns.org/object/2024iy,"['https://alerce.online/object/ZTF24aaahxph', 'https://fallingstar-data.com/forcedphot/']"
SN2024ko,0,11:16:19.3699,+11:17:24.045,18.422,2024-01-06 05:46:59,中心,169.0807078,11.290012499999998,2024-01-05 09:17:14.001,18.7726,ALeRCE,g,1.1703163217844894,-19.08210649956973,372.34137646936745,2112.6104743035303,0.088,SN Ia,"ZTF24aaaintg, ATLAS24ajr",WISEA J111619.28+111723.6,0.078972,G,https://www.wis-tns.org/object/2024ko,"['https://alerce.online/object/ZTF24aaaintg', 'https://fallingstar-data.com/forcedphot/']"
SN2024py,1,13:3:56.3205,-17:15:23.223,18.76,2024-01-06 13:42:14,中心,195.9846689,-17.2564508,2024-01-02 11:05:16.800,18.87,ZTF,g,0.3675778576728376,-18.37432468200267,281.1026478055844,500.94396104955234,0.067,SN IIb,ZTF23aakanao,WISEA J130356.31-171522.8,0.067036,G,https://www.wis-tns.org/object/2024py,['https://alerce.online/object/ZTF23aakanao']
SN2024bt,0,3:52:2.3225,-16:6:45.034,19.253,2024-01-13 02:19:56,非中心,58.0096769941,-16.1125094243,2024-01-02 06:07:22.368,20.6,Pan-STARRS,w,21.646015248528713,-17.95564274646307,514.1958288059288,53961.17230842273,0.12,SN Ia,"PS24al, ATLAS24arw",WISEA J035200.95-160654.0,--,IrS,https://www.wis-tns.org/object/2024bt,['https://fallingstar-data.com/forcedphot/']
SN2023acdv,0,13:32:45.1413,-13:2:49.827,17.3723,2024-01-02 11:06:47,非中心,203.1880889,-13.0471743,2023-12-30 14:20:56.832,18.042,ATLAS,orange,2.195218631790983,-16.841268821712774,94.76626502713616,1008.570848502373,0.023,SN Ia-91bg-like,"ATLAS23xzs, ZTF24aaadcxh",WISEA J133245.31-130249.7,0.02349,G,https://www.wis-tns.org/object/2023acdv,"['https://alerce.online/object/ZTF24aaadcxh', 'https://fallingstar-data.com/forcedphot/']"
