full_name,tns_ra_hms,tns_dec_hms,tns_ra,tns_dec,discoverydate,discovery_mag,filter,location,redshift,type,internal_names,host_name,host_ra_hms,host_dec_hms,host_ra,host_dec,host_redshift,host_type,TNS_link,ZTF_link
SN2023abnb,2:4:55.3967,+28:59:15.895,31.2308196,28.9877485,2023-12-27 03:10:04.800,16.19,r,not_center,0.016,SN Ia,ZTF23abvnahb,NGC 0807,2:4:55.6608,+28:59:14.784,31.23192,28.98744,0.015891,G,https://www.wis-tns.org/object/2023abnb,https://alerce.online/object/ZTF23abvnahb
AT2023absz,14:41:39.0847,-3:57:47.916,220.412852857,-3.96331,2023-12-26 15:22:41.664,17.788,orange,not_center,,nan,ATLAS23xxd,WISEA J144139.02-035751.6,14:41:39.0288,-3:57:51.588,220.41262,-3.96433,0.069625,G,https://www.wis-tns.org/object/2023absz,
AT2023absy,13:13:49.2231,+2:32:15.598,198.45509625,2.53766625,2023-12-26 13:40:27.264,18.114,orange,center,,nan,ATLAS23xxc,CGCG 044-034 NED01,13:13:49.1736,+2:32:14.424,198.45489,2.53734,0.047236,G,https://www.wis-tns.org/object/2023absy,
AT2023abqf,9:46:20.115,+3:4:16.527,146.5838125,3.0712575,2023-12-26 11:48:46.944,18.236,orange,not_center,,nan,ATLAS23xws,2MASS J09461985+0304081,9:46:19.8408,+3:4:6.672,146.58267,3.06852,0.01988,G,https://www.wis-tns.org/object/2023abqf,
AT2023abqe,9:35:36.1699,-8:23:12.8,143.900708,-8.386889,2023-12-26 08:32:38.400,18.16,G,center,,nan,Gaia23dum,GALEXASC J093536.20-082311.7,9:35:36.204,-8:23:11.724,143.90085,-8.38659,--,UvS,https://www.wis-tns.org/object/2023abqe,
AT2023abqa,21:51:39.0499,+62:51:29.228,327.912708,62.858119,2023-12-25 18:23:02.400,18.51,G,not_center,,nan,Gaia23dug,SSTSL2 J215138.31+625135.1,21:51:38.3112,+62:51:35.208,327.90963,62.85978,--,IrS,https://www.wis-tns.org/object/2023abqa,
AT2023abqc,21:43:51.21,+31:53:24.14,325.963375,31.890039,2023-12-25 17:49:55.200,16.86,G,center,,nan,Gaia23duj,GALEXASC J214351.21+315324.4,21:43:51.2136,+31:53:24.432,325.96339,31.89012,--,UvS,https://www.wis-tns.org/object/2023abqc,
AT2023abpx,21:41:53.1499,+16:56:10.928,325.471458,16.936369,2023-12-25 17:32:38.400,18.69,G,center,,nan,Gaia23duc,WISEA J214153.14+165610.5,21:41:53.1432,+16:56:10.572,325.47143,16.93627,1.479808,IrS,https://www.wis-tns.org/object/2023abpx,
AT2023abim,11:49:12.675,+43:7:29.159,177.3028126,43.1247665,2023-12-25 13:03:44.928,17.72,orange,center,,nan,"ATLAS23xvy, ZTF23abvgvab",SDSS J114912.60+430728.5,11:49:12.6072,+43:7:28.524,177.30253,43.12459,--,G,https://www.wis-tns.org/object/2023abim,https://alerce.online/object/ZTF23abvgvab
AT2023abqd,9:34:23.4,+40:38:8.84,143.5975,40.635789,2023-12-25 09:31:40.800,16.72,G,center,,nan,Gaia23dul,SDSS J093423.39+403808.9,9:34:23.3952,+40:38:8.988,143.59748,40.63583,--,*,https://www.wis-tns.org/object/2023abqd,
AT2023absx,1:20:8.141,+1:8:13.6,20.033921,1.137111,2023-12-25 01:14:51.936,18.332,orange,not_center,,nan,ATLAS23xxb,WISEA J012008.37+010811.8,1:20:8.3784,+1:8:11.94,20.03491,1.13665,0.05478,G,https://www.wis-tns.org/object/2023absx,
AT2023abni,22:15:6.78,+58:49:6.92,333.77825,58.818589,2023-12-25 00:18:43.200,17.02,G,center,,nan,Gaia23dua,2MASS J22150676+5849069,22:15:6.7608,+58:49:6.852,333.77817,58.81857,--,IrS,https://www.wis-tns.org/object/2023abni,
SN2023zzi,2:54:47.1905,+15:35:24.38,43.6966272125,15.59010555,2023-12-14 02:58:33.600,17.96,r,not_center,0.033123,SN Ia,"ZTF23abtxmmt, ATLAS23xnk",CGCG 440-033,2:54:47.1696,+15:35:22.056,43.69654,15.58946,0.033123,G,https://www.wis-tns.org/object/2023zzi,https://alerce.online/object/ZTF23abtxmmt
AT2023aakn,11:23:20.2605,+5:51:7.098,170.8344186,5.8519717,2023-12-13 15:23:29.184,18.326,orange,center,,nan,"ATLAS23xjk, ZTF21aaofugw",CGCG 039-162,11:23:20.2392,+5:51:7.272,170.83433,5.85202,0.037431,G,https://www.wis-tns.org/object/2023aakn,https://alerce.online/object/ZTF21aaofugw
AT2023abtb,11:34:53.4378,-6:52:0.464,173.7226577,-6.8667956,2023-12-12 10:42:14.400,15.07,r,center,,nan,ZTF23abtkqqj,WISEA J113453.46-065201.3,11:34:53.5152,-6:52:1.488,173.72298,-6.86708,--,UvS,https://www.wis-tns.org/object/2023abtb,https://alerce.online/object/ZTF23abtkqqj
SN2023zcx,11:55:57.4351,+43:35:39.434,178.989312784,43.5942871172,2023-12-06 15:00:04.320,18.529,orange,not_center,0.04,SN Ia,"ATLAS23wwo, ZTF23absjede, PS23mxr",MRK 1464,11:55:57.1296,+43:35:35.016,178.98804,43.59306,0.0363,G,https://www.wis-tns.org/object/2023zcx,https://alerce.online/object/ZTF23absjede
AT2023zrg,7:28:32.8142,+10:57:55.039,112.136725874,10.965288708,2023-12-05 11:08:30.336,18.772,orange,center,,nan,"ATLAS23xeq, PS23mwf",WISEA J072832.88+105756.4,7:28:32.8824,+10:57:56.448,112.13701,10.96568,--,IrS,https://www.wis-tns.org/object/2023zrg,
SN2023ywr,6:27:52.0178,+67:12:26.106,96.9667407235,67.2072517187,2023-12-04 11:19:41.664,17.991,orange,not_center,0.04,SN Ia,"ATLAS23wre, ZTF23absgdom, PS23nad",WISEA J062753.59+671226.1,6:27:52.9896,+67:12:27.828,96.97079,67.20773,--,UvS,https://www.wis-tns.org/object/2023ywr,https://alerce.online/object/ZTF23absgdom
AT2020svg,21:37:45.1901,-14:32:55.68,324.438292,-14.5488,2020-09-03 07:02:33.216,18.22,g,center,,nan,"ZTF18adbldck, Gaia23dub",[HB89] 2135-147,21:37:45.1728,-14:32:55.824,324.43822,-14.54884,0.20047,QSO,https://www.wis-tns.org/object/2020svg,https://alerce.online/object/ZTF18adbldck
