full_name,tns_ra_hms,tns_dec_hms,discoverymag,location,redshift,type,discoverydate,internal_names,host_name,host_ra_rms,host_dec_rms,ra,declination,filter,host_ra,host_dec,host_redshift,host_type
AT2023ypp,3:31:49.1976,-4:522:44.512,18.056,not_center,,,2023-11-29 22:01:22.368,ATLAS23wkh,WISEA J033150.24-044303.9,,,52.95499,-4.71236444444,orange,52.95934,-4.71777,--,IrS
AT2023ypg,1:32:54.0,+30:21:38.7,18.2,center,,,2023-11-29 14:36:57.600,PSP23O,WISEA J013253.88+302139.0,,,23.225,30.36075,Clear,23.2246,30.36114,--,IrS
AT2023ypt,2:3:54.0199,-9:1104:52.74,18.48,center,,,2023-11-28 23:06:43.200,Gaia23dkx,WISEA J020354.02-092452.8,,,30.975083,-9.41465,G,30.9751,-9.41464,0.213877,G
AT2023ypr,19:2:38.82,+47:49:56.96,18.63,not_center,,,2023-11-28 06:44:38.400,Gaia23dks,WISEA J190238.92+475008.8,,,285.66175,47.832489,G,285.66252,47.83562,--,UvS
AT2023ypm,0:42:13.08,+7:31:37.852,16.54,center,,,2023-11-27 05:29:45.600,Gaia23dko,WISEA J004213.04+073137.5,,,10.5545,7.527181,G,10.55434,7.52728,-0.000399,Blue*
AT2023ypk,12:43:30.2801,-6:771:54.068,18.68,center,,,2023-11-27 02:19:40.800,Gaia23dkl,LCRS B124055.1-063528,,,190.876167,-6.865019,G,190.87598,-6.86517,--,G
AT2023ypl,20:45:9.2801,+41:7:42.892,17.45,center,,,2023-11-27 00:27:21.600,Gaia23dkn,WISEA J204509.27+410742.9,,,311.288667,41.128581,G,311.28857,41.12867,--,IrS
AT2023xrf,12:21:51.15,-12:1498:58.58,17.9584,center,,,2023-11-13 13:06:22.997,"ZTF23abqwfuc, Gaia23dkm",LCRS B121916.0-124220,,,185.463125,-12.982939,r,185.4627,-12.98315,0.047373,G
AT2023xre,13:24:46.4801,+1:48:48.24,17.8297,not_center,,,2023-11-13 13:05:00.960,"ZTF23abqweoo, Gaia23dki",WISEA J132446.68+014848.4,,,201.193667,1.8134,r,201.1944,1.81381,0.0378,G
AT2023xrz,10:36:34.7244,-2:282:15.786,17.1,center,,,2023-11-12 08:09:36.000,"ASASSN-23ia, ATLAS23wko",APMUKS(BJ) B103402.05-022640.4,,,159.144685,-2.704385,g,159.14464,-2.70416,--,G
SN2023xlu,0:47:45.93,+12:15:55.84,18.73,not_center,0.038,SN II,2023-11-11 04:36:28.800,"ZTF23abqbjjb, ATLAS23vlk, Gaia23dkw",CGCG 435-006,,,11.941375,12.265511,g,11.93988,12.26539,0.037809,G
AT2023xvv,21:56:26.2999,+37:54:33.44,15.92,not_center,,,2023-11-02 02:54:14.400,"ZTF23aboelln, Gaia23dkh",WISEA J215628.14+375424.9,,,329.109583,37.909289,r,329.11725,37.90694,--,IrS
