full_name,tns_ra_hms,tns_dec_hms,tns_ra,tns_dec,discoverydate,discovery_mag,filter,location,redshift,type,internal_names,host_name,host_ra_hms,host_dec_hms,host_ra,host_dec,host_redshift,host_type,TNS_link,ZTF_link
AT2023aama,11:6:41.5738,+6:40:1.438,166.673224,6.667066,2023-12-18 13:24:44.640,18.2,cyan,center,,,ATLAS23xru,WISEA J110641.54+064001.2,11:6:41.544,+6:40:1.128,166.6731,6.66698,0.060944,G,https://www.wis-tns.org/object/2023aama,
AT2023aakk,22:52:33.8266,+46:34:17.398,343.140944286,46.5714995238,2023-12-17 05:33:44.928,17.092,orange,not_center,,,ATLAS23xpq,WISEA J225233.10+463420.9,22:52:33.1008,+46:34:20.892,343.13792,46.57247,--,IrS,https://www.wis-tns.org/object/2023aakk,
AT2023aais,7:34:57.9428,-2:49:28.482,113.741428333,-2.82457833333,2023-12-16 21:33:24.480,15.66,Clear,not_center,,,"KATS23Y001, ATLAS23xqn",WISEA J073457.67-024919.1,7:34:57.7032,-2:49:19.164,113.74043,-2.82199,--,IrS,https://www.wis-tns.org/object/2023aais,
AT2023aakq,8:2:17.9966,-19:2:25.993,120.574985909,-19.0405536364,2023-12-16 05:24:49.248,18.244,orange,not_center,,,ATLAS23xqr,WISEA J080217.73-190219.4,8:2:17.7312,-19:2:19.68,120.57388,-19.0388,--,IrS,https://www.wis-tns.org/object/2023aakq,
AT2023aalb,11:45:21.96,+14:33:13.972,176.3415,14.553881,2023-12-15 14:05:16.800,18.58,G,center,,,Gaia23dqp,WISEA J114521.97+143314.0,11:45:21.96,+14:33:14.076,176.3415,14.55391,1.800384,QSO,https://www.wis-tns.org/object/2023aalb,
AT2023aaky,2:33:30.87,+57:29:3.7,38.378625,57.484361,2023-12-15 02:16:48.000,11.62,G,center,,,Gaia23dql,WISEA J023330.87+572903.7,2:33:30.8688,+57:29:3.84,38.37862,57.4844,--,IrS,https://www.wis-tns.org/object/2023aaky,
AT2023aakn,11:23:20.257,+5:51:7.399,170.834404,5.85205533333,2023-12-13 15:23:29.184,18.326,orange,center,,,ATLAS23xjk,CGCG 039-162,11:23:20.2392,+5:51:7.272,170.83433,5.85202,0.037431,G,https://www.wis-tns.org/object/2023aakn,
AT2023zem,5:26:50.6512,-15:54:52.107,81.7110466835,-15.9144742024,2023-12-09 05:32:38.400,18.5,g,center,,,"ZTF23absgcqv, PS23lza, ATLAS23xrc",WISEA J052650.62-155452.0,5:26:50.5896,-15:54:52.2,81.71079,-15.9145,0.071154,G,https://www.wis-tns.org/object/2023zem,https://alerce.online/object/ZTF23absgcqv
AT2023zoj,11:4:0.7008,+18:58:28.738,166.002919952,18.9746494592,2023-12-08 13:59:33.792,18.642,orange,not_center,,,"ATLAS23xcr, PS23lzl",2MASX J11040042+1858293,11:4:0.4056,+18:58:28.884,166.00169,18.97469,0.066665,G,https://www.wis-tns.org/object/2023zoj,
SN2023zba,0:16:0.3,0:18:11.812,4.00125,-0.303281,2023-12-07 03:31:06.000,18.8,V-crts,not_center,0.039,SN IIP,", ATLAS23wys, ZTF23abseqoa, Gaia23dqo",SDSS J001600.41-001809.6,0:16:0.4104,0:18:9.684,4.00171,-0.30269,0.039137,G,https://www.wis-tns.org/object/2023zba,https://alerce.online/object/ZTF23abseqoa
AT2023zqy,11:15:21.8201,+31:31:24.668,168.840917,31.523519,2023-12-06 14:33:30.240,18.744,orange,center,,,"ATLAS23xdz, Gaia23dqq",WISEA J111521.83+313124.8,11:15:21.8544,+31:31:24.816,168.84106,31.52356,0.026807,G,https://www.wis-tns.org/object/2023zqy,
SN2023zof,10:16:15.3441,+18:35:19.137,154.063933844,18.588649144,2023-12-06 13:46:52.608,18.715,orange,not_center,0.039,SN Ia,"ATLAS23xcj, PS23lts",CGCG 093-083,10:16:15.4752,+18:35:24.936,154.06448,18.59026,0.038866,G,https://www.wis-tns.org/object/2023zof,
AT2021aiau,0:27:11.4625,+51:3:48.096,6.7977606,51.0633601,2021-06-19 08:43:39.999,18.7265,r,center,,,ZTF18adhshnn,UGC 00258,0:27:11.4696,+51:3:47.592,6.79779,51.06322,0.03702,G,https://www.wis-tns.org/object/2021aiau,https://alerce.online/object/ZTF18adhshnn
